wid,test_type,overlay,train_presentation_duration,recall_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,bonus,completed,version,math_correct
w9aabe7a,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.12,True,v2.0B,10.0
wf6c4516,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.12,True,v2.0B,9.0
w6a0a90c,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.02,True,v2.0B,3.0
w531e249,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.13,True,v2.0B,6.0
wfc6c38d,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.23,True,v2.0B,9.0
w0b6f923,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.0,False,v2.0B,
wa569677,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.15,True,v2.0B,5.0
w9ce74d8,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.19,True,v2.0B,9.0
wba44c19,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.87,True,v2.0B,7.0
w3ea2c62,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.17,True,v2.0B,4.0
we9ee60c,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.08,True,v2.0B,9.0
wacb9619,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.21,True,v2.0B,9.0
w16728d2,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.81,True,v2.0B,8.0
wcc346ce,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.2,True,v2.0B,9.0
w063e8ef,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.11,True,v2.0B,4.0
w2dc1038,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.0,False,v2.0B,
w24e8ccf,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.15,True,v2.0B,7.0
wd07e2c3,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.06,True,v2.0B,8.0
w96a0dba,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.16,True,v2.0B,9.0
w6f81791,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.14,True,v2.0B,10.0
wf89c14f,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.2,True,v2.0B,10.0
w10bed5d,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.2,True,v2.0B,8.0
wb86fb31,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.0,False,v2.0B,
w1c4b4a7,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.11,True,v2.0B,6.0
wfd4a5ad,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.0,False,v2.0B,
w12fbd4a,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.14,True,v2.0B,8.0
wf5eb942,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.18,True,v2.0B,9.0
wed254ee,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.15,True,v2.0B,5.0
wb1e6c79,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.15,True,v2.0B,8.0
w4f46da3,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.12,True,v2.0B,8.0
