wid,practice,rt,word,target,lure,key,correct
w0221ff0,True,1325.0,stairs,house/sun_aswyksckmfyarwfk,beach/sun_aabhqzsffoeycgje,J,True
w0221ff0,False,1063.0,scapegoat,garage/sun_deomonrjnryvglit,bookstore/sun_aauabdbreuzsnnrv,F,True
w0221ff0,False,943.0,handkerchief,greenhouse/sun_bmnxsjsqwqcaluzf,kitchen/sun_asrcfjusjydonoin,F,True
w0221ff0,False,981.0,ozone,pool/sun_aztsporcpcmiibon,auditorium/sun_ahwnrxacspjqqqfm,J,True
w0221ff0,False,907.0,follower,campsite/sun_ahvodfpzghaczear,downtown/sun_aljrvcabwnwkorml,F,True
w0221ff0,False,849.0,tread,auditorium/sun_ahwnrxacspjqqqfm,river/sun_atesawsfypjpyefy,F,True
w0221ff0,False,1743.0,donor,beach/sun_aabhqzsffoeycgje,airport/sun_akhqgzrrubgnwzpa,J,True
w0221ff0,False,963.0,pillow,footballfield/sun_aadxnjugrvhqyufw,garage/sun_deomonrjnryvglit,F,True
w0221ff0,False,1337.0,idol,gym/sun_awstzxompuovdfck,house/sun_aswyksckmfyarwfk,J,True
w0221ff0,False,838.0,carrot,downtown/sun_aljrvcabwnwkorml,grocery/sun_ajxqnbvuflmzhcig,F,True
w0221ff0,False,841.0,electron,castle/sun_alsmelmsufuoupht,computerroom/sun_aagspgyvjmoiytfb,F,True
w0221ff0,False,983.0,pitchfork,bookstore/sun_aauabdbreuzsnnrv,forest/sun_anfpmkqemzwfixbm,J,True
w0221ff0,False,1058.0,quill,grocery/sun_ajxqnbvuflmzhcig,greenhouse/sun_bmnxsjsqwqcaluzf,J,True
w0221ff0,False,863.0,apple,river/sun_atesawsfypjpyefy,castle/sun_alsmelmsufuoupht,J,True
w0221ff0,False,1085.0,goddess,musuem/sun_argfiirfjlkefabp,railway/sun_aprfapnfngmvbixm,J,True
w0221ff0,False,910.0,mister,computerroom/sun_aagspgyvjmoiytfb,gym/sun_awstzxompuovdfck,J,True
w0221ff0,False,884.0,tiger,railway/sun_aprfapnfngmvbixm,footballfield/sun_aadxnjugrvhqyufw,J,True
w0221ff0,False,893.0,tractor,forest/sun_anfpmkqemzwfixbm,pool/sun_aztsporcpcmiibon,F,True
w0221ff0,False,1259.0,neck,airport/sun_akhqgzrrubgnwzpa,campsite/sun_ahvodfpzghaczear,F,True
w0221ff0,False,1542.0,virus,kitchen/sun_asrcfjusjydonoin,musuem/sun_argfiirfjlkefabp,J,True
w0221ff0,False,2796.0,apple,river/sun_atesawsfypjpyefy,musuem/sun_argfiirfjlkefabp,J,True
w0221ff0,False,1104.0,ozone,pool/sun_aztsporcpcmiibon,railway/sun_aprfapnfngmvbixm,J,True
w0221ff0,False,861.0,tiger,railway/sun_aprfapnfngmvbixm,house/sun_aswyksckmfyarwfk,F,True
w0221ff0,False,755.0,virus,kitchen/sun_asrcfjusjydonoin,beach/sun_aabhqzsffoeycgje,F,True
w0221ff0,False,855.0,electron,castle/sun_alsmelmsufuoupht,bookstore/sun_aauabdbreuzsnnrv,F,True
w0221ff0,False,1024.0,handkerchief,greenhouse/sun_bmnxsjsqwqcaluzf,campsite/sun_ahvodfpzghaczear,J,True
w0221ff0,False,998.0,idol,gym/sun_awstzxompuovdfck,pool/sun_aztsporcpcmiibon,F,True
w0221ff0,False,1079.0,follower,campsite/sun_ahvodfpzghaczear,auditorium/sun_ahwnrxacspjqqqfm,J,True
w0221ff0,False,852.0,stairs,house/sun_aswyksckmfyarwfk,grocery/sun_ajxqnbvuflmzhcig,J,True
w0221ff0,False,1168.0,pillow,footballfield/sun_aadxnjugrvhqyufw,river/sun_atesawsfypjpyefy,J,True
w0221ff0,False,803.0,carrot,downtown/sun_aljrvcabwnwkorml,castle/sun_alsmelmsufuoupht,J,True
w0221ff0,False,866.0,tractor,forest/sun_anfpmkqemzwfixbm,computerroom/sun_aagspgyvjmoiytfb,F,True
w0221ff0,False,898.0,goddess,musuem/sun_argfiirfjlkefabp,downtown/sun_aljrvcabwnwkorml,F,True
w0221ff0,False,798.0,tread,auditorium/sun_ahwnrxacspjqqqfm,garage/sun_deomonrjnryvglit,F,True
w0221ff0,False,798.0,mister,computerroom/sun_aagspgyvjmoiytfb,airport/sun_akhqgzrrubgnwzpa,F,True
w0221ff0,False,908.0,quill,grocery/sun_ajxqnbvuflmzhcig,kitchen/sun_asrcfjusjydonoin,J,True
w0221ff0,False,1009.0,pitchfork,bookstore/sun_aauabdbreuzsnnrv,greenhouse/sun_bmnxsjsqwqcaluzf,J,True
w0221ff0,False,940.0,donor,beach/sun_aabhqzsffoeycgje,footballfield/sun_aadxnjugrvhqyufw,J,True
w0221ff0,False,1027.0,scapegoat,garage/sun_deomonrjnryvglit,forest/sun_anfpmkqemzwfixbm,J,True
w0221ff0,False,1020.0,neck,airport/sun_akhqgzrrubgnwzpa,gym/sun_awstzxompuovdfck,J,True
w0221ff0,False,823.0,electron,castle/sun_alsmelmsufuoupht,downtown/sun_aljrvcabwnwkorml,F,True
w0221ff0,False,852.0,mister,computerroom/sun_aagspgyvjmoiytfb,grocery/sun_ajxqnbvuflmzhcig,F,True
w0221ff0,False,870.0,tractor,forest/sun_anfpmkqemzwfixbm,campsite/sun_ahvodfpzghaczear,J,True
w0221ff0,False,910.0,pitchfork,bookstore/sun_aauabdbreuzsnnrv,airport/sun_akhqgzrrubgnwzpa,F,True
w0221ff0,False,776.0,stairs,house/sun_aswyksckmfyarwfk,railway/sun_aprfapnfngmvbixm,J,True
w0221ff0,False,792.0,follower,campsite/sun_ahvodfpzghaczear,footballfield/sun_aadxnjugrvhqyufw,F,True
w0221ff0,False,941.0,scapegoat,garage/sun_deomonrjnryvglit,auditorium/sun_ahwnrxacspjqqqfm,J,True
w0221ff0,False,894.0,virus,kitchen/sun_asrcfjusjydonoin,bookstore/sun_aauabdbreuzsnnrv,J,True
w0221ff0,False,805.0,pillow,footballfield/sun_aadxnjugrvhqyufw,greenhouse/sun_bmnxsjsqwqcaluzf,F,True
w0221ff0,False,742.0,carrot,downtown/sun_aljrvcabwnwkorml,kitchen/sun_asrcfjusjydonoin,F,True
w0221ff0,False,854.0,apple,river/sun_atesawsfypjpyefy,computerroom/sun_aagspgyvjmoiytfb,F,True
w0221ff0,False,878.0,idol,gym/sun_awstzxompuovdfck,house/sun_aswyksckmfyarwfk,J,True
