wid,practice,first_word,second_word,presentation_times,typing_rt,word,response,response_rt,response_type
w0221ff0,True,quill,idol,"[1710.7550000073388, 11246.224999980768]",13983.0,idol,idol,15133.059999992838,correct
w0221ff0,False,mister,neck,[500.63500000396743],990.0,mister,mister,1740.5600000056438,correct
w0221ff0,False,pitchfork,electron,"[1573.4400000073947, 886.1200000101235]",2885.0,electron,electron,3811.9149999984074,correct
w0221ff0,False,tread,tractor,"[870.5699999991339, 1110.740000003716]",2191.0,tractor,tractor,3044.610000011744,correct
w0221ff0,False,scapegoat,handkerchief,"[846.6900000057649, 1448.629999998957, 2190.7700000156183]",5384.0,scapegoat,scapegoat,6862.020000000484,correct
w0221ff0,False,goddess,pillow,[1875.1850000116974],2484.0,goddess,goddess,3538.8350000139326,correct
w0221ff0,False,donor,tiger,[2421.685000008438],2831.0,donor,donor,3349.8900000122376,correct
w0221ff0,False,apple,ozone,[2292.379999998957],3215.0,apple,apple,3796.5199999744073,correct
w0221ff0,False,follower,stairs,[1555.7949999929406],1822.0,follower,follower,3764.264999976149,correct
w0221ff0,False,virus,carrot,[1300.3099999914411],1630.0,virus,virus,2636.2999999837484,correct
w100191b,True,refrigerator,permit,"[1401, 3291, 1760, 1564, 199, 240]",9376.0,permit,permit,10798.0,correct
w100191b,False,carrot,tart,[1269],1697.0,carrot,carrot,2422.0,correct
w100191b,False,ear,grizzly,"[801, 644, 344, 208]",2311.0,grizzly,grizzly,4225.0,correct
w100191b,False,baby,tread,[866],1221.0,baby,baby,1640.0,correct
w100191b,False,jeans,crook,[988],1446.0,jeans,jeans,2303.0,correct
w100191b,False,patient,tulip,"[1071, 964]",2459.0,tulip,tulip,3982.0,correct
w100191b,False,suburb,handkerchief,[1046],1290.0,suburb,suburb,2400.0,correct
w100191b,False,critic,elephant,"[1257, 1769]",3326.0,elephant,elephant,4659.0,correct
w100191b,False,agent,tomato,[955],1277.0,agent,agent,1921.0,correct
w100191b,False,villain,tiger,"[1209, 941]",2414.0,tiger,tiger,3092.0,correct
w62d4acb,True,pitchfork,suburb,"[723.1050000045798, 1775.6799999988289]",3119.0,suburb,suburb,6308.565000006696,correct
w62d4acb,False,neck,villain,"[1596.6399999960558, 2121.375000002561]",4099.0,villain,villain,5361.599999996484,correct
w62d4acb,False,vagrant,antelope,[1400.6899999949383],1801.0,vagrant,vagrant,3217.709999997169,correct
w62d4acb,False,virus,refrigerator,[1319.3099999990081],1837.0,virus,virus,2625.7299999997485,correct
w62d4acb,False,tart,ear,[1225.9150000025984],1691.0,tart,tart,2420.400000002701,correct
w62d4acb,False,quill,consumer,[1995.7900000008522],2339.0,quill,quill,3448.4449999944773,correct
w62d4acb,False,agent,cactus,[833.0299999942072],1286.0,agent,agent,3422.1849999957485,correct
w62d4acb,False,handkerchief,mister,[1103.5750000010012],1769.0,handkerchief,handkerchief,5833.569999995176,correct
