wid,practice,presentation_times,first_seen,first_word,second_word,response_type,choice,choice_rt,typing_rt,word,response,response_rt
we5637cb,True,"[2365.0800000177696, 23924.775000021327, 725.8450000081211, 679.6399999875575, 2379.4350000098348]",left,parrot,ozone,timeout,,,,,,
we5637cb,False,"[1792.8149999934249, 6042.004999995697]",left,magazine,consumer,correct,right,7834.819999989122,8950.330000021495,consumer,consumer,10054.20499999309
we5637cb,False,"[763.3050000295043, 1086.7899999720976, 1283.9500000118278]",left,traitor,daisy,correct,left,3134.0450000134297,3924.720000009984,traitor,traitor,5057.450000022072
we5637cb,False,"[658.3100000279956, 673.1999999610707, 1125.4300000146031]",left,horse,vagrant,other,left,2456.9400000036694,3283.675000013318,horse,hose,4278.879999998026
we5637cb,False,"[616.4399999543093, 711.7250000010245, 972.9100000113249]",left,tractor,donor,correct,left,2301.0749999666587,3038.669999979902,tractor,tractor,4579.74999997532
we5637cb,False,"[716.9700000085868, 416.4549999986775, 1344.7499999892898]",left,goddess,ear,correct,left,2478.174999996554,3611.674999992829,goddess,goddess,4737.024999980349
we5637cb,False,"[628.6349999718368, 1919.190000044182]",left,stable,pitchfork,correct,right,2547.8250000160187,3100.129999977071,pitchfork,pitchpork,5949.320000014268
we5637cb,False,"[555.5699999677017, 576.8900000257418, 638.2650000159629, 508.5249999538064, 1015.2799999923445]",left,eagle,tart,correct,left,3294.5299999555573,3650.5250000045635,eagle,eagle,4522.620000003371
we5637cb,False,"[597.0450000022538, 641.8449999764562, 2240.594999981113]",left,frog,rouge,correct,left,3479.4849999598227,4120.444999949541,frog,frog,4575.039999966975
we5637cb,False,"[629.1700000292622, 3725.9499999927357, 2899.3749999790452, 2589.0699999872595, 4186.4750000531785, 991.7499999864958]",left,department,seagull,timeout,,,,,,
we5637cb,False,"[585.5749999755062, 1377.1450000349432, 1531.029999954626]",left,pillow,roost,correct,left,3493.7499999650754,4013.619999983348,pillow,pillow,5535.559999989346
we5637cb,False,"[1168.4150000219233, 854.2799999704584, 207.95499999076128, 848.6550000379793]",left,dandelion,major,correct,right,3079.3050000211224,3423.045000003185,major,major,4119.239999970887
we5637cb,False,"[653.3550000167452, 1423.7950000097044, 303.64499997813255, 838.7499999953434]",left,elbow,application,correct,right,3219.5449999999255,3547.840000013821,application,application,5713.954999984708
we5637cb,False,"[579.154999984894, 1765.0049999938346]",left,keeper,pizza,correct,right,2344.1599999787286,3018.4599999920465,pizza,pizza,3735.434999980498
we5637cb,False,"[540.854999970179, 792.8900000406429, 229.9199999542907, 1067.7450000075623]",left,atom,apple,correct,right,2631.409999972675,2931.1199999647215,apple,apple,3696.185000007972
we5637cb,False,"[629.7649999614805, 1502.5950000272132]",left,tulip,society,correct,right,2132.3599999886937,2853.115000005346,society,society,4116.500000003725
we5637cb,False,"[689.1900000046007, 614.5499999984168, 264.1650000005029]",left,finger,stranger,correct,left,1567.9050000035204,2331.01500000339,finger,finger,3558.019999996759
