wid,test_type,overlay,train_presentation_duration,recall_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,afc_scores,completed,bonus,version,math_correct
wdf32146,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'pig': 6.735815852418767, 'cauliflower': 6.5333350182382235, 'department': 6.877494336930962, 'traitor': 6.907493134596302, 'patient': 6.870816181151134, 'donor': 6.667922098324913, 'major': 7.100984087772882, 'pillow': 6.594690515702119, 'handkerchief': 7.030686219247983, 'stranger': 6.828780150311295, 'cue': 6.841830242778177, 'volunteer': 6.68753894125964, 'grizzly': 6.440241671290768, 'tiger': 6.607124014996906, 'neck': 7.051925738295886, 'octopus': 6.57489363489672, 'bed': 6.658586565002875, 'hamburger': 6.522595057144127, 'community': 7.05639552922539, 'scenery': 6.819098542288195, 'critic': 6.744043537318998, 'refrigerator': 6.509557276847615, 'ear': 6.772938101332451, 'editorial': 6.887868748196408, 'bug': 6.713863668493782, 'cookie': 6.996560030731776, 'penguin': 6.794048501548635, 'fellow': 7.293460423484626, 'scapegoat': 6.5730745453667625, 'shoelace': 6.5397750005855535, 'tread': 6.651542524776972, 'apple': 6.53701616730699, 'pizza': 6.671611303850887, 'hero': 6.507684517664054, 'barracuda': 7.10021647754531, 'permit': 6.846680106033948, 'stable': 6.873686637886383, 'crook': 6.624994987630962, 'seagull': 6.736419872927235, 'elbow': 6.451211722041421}",True,2.24,v4.0,4.0
w1a79e04,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'empire': 6.766308708305047, 'finger': 6.609497002174269, 'baby': 6.784063856181006, 'handkerchief': 6.620722933789359, 'carrot': 6.7349038972044495, 'cookie': 6.476073053438145, 'rouge': 6.74213111573323, 'winner': 6.703606249516948, 'patient': 6.670626891624472, 'gravel': 6.71230961891449, 'goat': 6.571591256931995, 'saxophone': 6.614206053067291, 'cue': 6.921474123780654, 'goddess': 6.553349262114378, 'penguin': 6.435661226286633, 'permit': 6.707511844875879, 'tiger': 6.779149146032496, 'strawberry': 6.4670145706733875, 'sand': 6.563683040300961, 'tulip': 6.628915315007961, 'traitor': 6.722157453596542, 'roost': 6.757519639602514, 'walrus': 6.649752564677954, 'electron': 6.652150467085524, 'frog': 6.528662343017065, 'tractor': 6.599112016089432, 'elephant': 6.583405388124487, 'ozone': 6.730974736267989, 'stable': 6.779195471604818, 'horse': 6.591922016503808, 'suburb': 6.768908234502909, 'idol': 6.377213200197182, 'tread': 6.744133883798296, 'community': 6.536344508136151, 'vagrant': 6.681962330718342, 'ear': 6.640987576647615, 'hero': 6.417460956397838, 'enemy': 6.605010478505899, 'editorial': 6.570360057110889, 'pig': 6.8537226258839254}",True,1.92,v4.0,7.0
w984d724,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'editorial': 7.772581217848461, 'horse': 7.184773796824648, 'tractor': 7.55778780216876, 'daisy': 7.59297236454695, 'suburb': 7.492214838995424, 'scapegoat': 7.174042395273903, 'banana': 7.224039969096078, 'tomato': 7.392579223602012, 'bed': 7.653460399680543, 'penguin': 7.2736904667663795, 'well': 7.2318688703478555, 'fellow': 7.030637375706708, 'goat': 7.2838353816259955, 'critic': 7.897721287163698, 'carrot': 7.658205165257903, 'tread': 7.510437309888417, 'walrus': 6.982575283115115, 'rebel': 7.1277972990342695, 'stranger': 7.2169800943259945, 'neck': 7.322544185126418, 'stairs': 6.871807199801142, 'elephant': 7.158815770567319, 'society': 6.877825945932565, 'department': 7.340732367076832, 'finger': 7.124431813905645, 'idol': 7.086133603858232, 'tiger': 7.151953686862488, 'cactus': 7.952264300636961, 'grizzly': 7.398188008439145, 'barracuda': 7.069238071804947, 'pitchfork': 6.869619386285334, 'hero': 7.271969103462762, 'virus': 6.631335277291559, 'baby': 7.135137588659774, 'vagrant': 6.739871485547493, 'community': 7.018884027024296, 'winner': 7.458590599141675, 'cookie': 7.009034407578618, 'volunteer': 6.937855535648681, 'territory': 7.502974846986596}",True,2.0,v4.0,9.0
w01b9555,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'rebel': 7.791422002503821, 'idol': 6.8444687846792185, 'baby': 7.536726088782568, 'cactus': 6.94888544195122, 'antelope': 7.199817791550476, 'chimney': 7.451502419949566, 'agent': 7.331434844762756, 'ear': 7.670236285736125, 'goddess': 7.452497387419979, 'shoelace': 7.240640121561192, 'pizza': 7.422615510568197, 'house': 7.064891587766486, 'tractor': 7.207401572676265, 'major': 7.218633662702754, 'society': 6.983764332004174, 'winner': 6.777298141659028, 'stairs': 6.808206766918539, 'enemy': 6.979670979010305, 'pillow': 7.061333426569159, 'consumer': 7.156072252098331, 'virus': 7.15462479688416, 'grizzly': 7.370364293053444, 'seagull': 7.616451150608971, 'lover': 7.222366920190736, 'editorial': 6.9736083430208025, 'scenery': 7.5142353554623, 'roost': 7.12288480326652, 'magazine': 7.072591693197314, 'captive': 7.194516809642841, 'traitor': 7.434198070354564, 'refrigerator': 7.125390867945057, 'eagle': 6.892288562804295, 'tart': 7.177299477216941, 'patient': 7.0757828165419605, 'frog': 7.2354406404093226, 'penguin': 6.90594141543689, 'carrot': 7.0428621648740375, 'octopus': 7.526676478175058, 'crook': 7.517129336432473, 'hamburger': 7.032339428094729}",True,1.9,v4.0,8.0
w29bbfb8,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'hamburger': 6.990389644415039, 'chimney': 7.4434289621061565, 'elbow': 6.990407812459907, 'cauliflower': 6.995968145409859, 'electron': 7.136954150525604, 'barracuda': 7.136475416931913, 'personnel': 7.453577197965444, 'rebel': 6.636882010559347, 'mister': 6.885273522435239, 'stable': 7.039009620659669, 'scapegoat': 7.308190316715468, 'banana': 7.121406002055977, 'pizza': 6.990213690928772, 'donor': 6.734436888464219, 'carrot': 7.318947374689699, 'ghost': 6.866523203093074, 'goat': 7.286414855607177, 'antelope': 7.001107587908521, 'rouge': 6.681512846774979, 'tractor': 6.725591550460305, 'frog': 6.791219325509519, 'elephant': 7.619975229927809, 'keeper': 7.235880460973836, 'captive': 7.0080784746899525, 'ear': 6.977331988042333, 'baby': 6.717988238239376, 'territory': 6.721053872582619, 'ozone': 6.633890862708448, 'well': 6.886966025999608, 'grizzly': 7.0503918929704055, 'house': 7.136891501228728, 'parrot': 6.987693426379489, 'bed': 6.918843943632687, 'handkerchief': 7.1962991656168, 'atom': 7.016147563412268, 'critic': 6.929672716630191, 'seagull': 7.019208191042257, 'villain': 6.7606975898980055, 'major': 6.8883201651729165, 'follower': 7.113663953167131}",True,2.13,v4.0,7.0
w8e3c0dd,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'society': 8.394673331161743, 'apple': 7.690852331770826, 'stable': 7.526357219780749, 'pillow': 8.011209179427986, 'saxophone': 8.70025015217646, 'octopus': 7.901329471329592, 'gravel': 8.776803967517644, 'elbow': 7.834418680173364, 'scapegoat': 8.721767872125707, 'stranger': 9.259275652074948, 'rouge': 8.69174362478894, 'cactus': 8.530119416141618, 'carrot': 7.6716671825538825, 'handkerchief': 7.659094064751311, 'patient': 7.964651100288431, 'tiger': 7.49758221859383, 'shoelace': 7.947648865548551, 'community': 8.549499960261, 'ghost': 8.331933411037076, 'jeans': 7.954054112150792, 'traitor': 9.266209542907191, 'tractor': 8.149078005020451, 'walrus': 8.395770365852625, 'tread': 8.174809052889055, 'volunteer': 7.583349647443345, 'flower': 8.367504646423987, 'territory': 8.424238972147224, 'scenery': 8.619182066701788, 'daisy': 7.803390026492956, 'antelope': 7.794396084119374, 'barracuda': 7.832597594954219, 'hero': 8.338571578849681, 'parrot': 8.492813552586744, 'villain': 7.7591689792477005, 'donor': 7.896404332642536, 'lover': 7.456971651050206, 'transplant': 7.978897280025511, 'well': 8.168958438899564, 'roost': 8.025472852669095, 'cauliflower': 8.289180647905155}",True,1.38,v4.0,7.0
wd4ddbb6,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'refrigerator': 7.397704482038173, 'ozone': 7.081763494304352, 'cauliflower': 7.065325999933681, 'jeans': 7.1069222110638774, 'penguin': 7.1163343242293635, 'personnel': 6.976824028481114, 'fellow': 7.165304037611363, 'application': 7.066979077860741, 'bed': 7.0213333077522035, 'octopus': 6.799729817767176, 'eagle': 7.4269302378397315, 'lover': 6.959750069415889, 'handkerchief': 6.901892691674678, 'winner': 6.785526586616315, 'pig': 6.962511488609021, 'cookie': 6.94598186524986, 'follower': 7.042012003437049, 'critic': 6.756667161398617, 'pitchfork': 7.023360919351153, 'agent': 6.951788122838551, 'ear': 6.9256850649247035, 'department': 7.086629297972455, 'editorial': 7.066546209151259, 'elbow': 6.9557891425575455, 'rouge': 6.982839427659378, 'banana': 7.129792186718876, 'neck': 6.824129888967349, 'major': 7.214460611717139, 'barracuda': 7.041734227126509, 'tulip': 6.973842693836208, 'stairs': 6.955874219039416, 'stable': 7.142812672834901, 'tart': 6.96314691174616, 'traitor': 7.040349520321605, 'volunteer': 7.10620653576197, 'tiger': 7.0428329238125675, 'well': 7.215355408452137, 'permit': 7.126607436152788, 'mister': 7.2152022927763015, 'hamburger': 7.216570669644807}",True,2.33,v4.0,9.0
w7ccb9b4,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'handkerchief': 6.94778485481708, 'shoelace': 7.0356242746926485, 'parrot': 6.75225963548687, 'hero': 6.754554012504683, 'enemy': 6.911039980462597, 'virus': 6.902343992671426, 'grizzly': 6.622642868973124, 'volunteer': 6.841515432912775, 'goat': 7.220753788353754, 'strawberry': 6.964547611333535, 'cookie': 6.935127251345119, 'elephant': 6.854308272927647, 'antelope': 6.90690441060674, 'eagle': 6.746783315906356, 'patient': 7.098047013035136, 'consumer': 6.736993898353263, 'captive': 6.78420090626589, 'rouge': 6.945077865538025, 'jeans': 6.677807041742777, 'gravel': 6.88364899445505, 'pillow': 7.053329562150954, 'cauliflower': 6.872634073761259, 'personnel': 6.9563147238671235, 'editorial': 6.770146790581862, 'apple': 6.789358596667419, 'rebel': 6.885807791615736, 'society': 6.868782825828082, 'saxophone': 6.6724310669067455, 'banana': 6.863167472468575, 'electron': 6.812339152089084, 'atom': 7.043487604834184, 'stranger': 6.794196411450707, 'ghost': 7.227407572188162, 'agent': 6.681352946322384, 'cactus': 6.86878673591879, 'scapegoat': 6.862909643654242, 'ear': 7.019041087881391, 'elbow': 6.784337384501868, 'transplant': 7.091506868639157, 'bug': 6.844690962034991}",True,2.24,v4.0,8.0
wcc26c89,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'scenery': 7.354520591237453, 'pillow': 7.015632497874253, 'empire': 7.175398390432842, 'neck': 7.248984496266307, 'handkerchief': 7.172869828948255, 'fellow': 7.428287163455668, 'major': 6.915972765511846, 'follower': 7.177757977379933, 'penguin': 6.731969843742752, 'grizzly': 7.022871454165891, 'antelope': 6.964572182180794, 'agent': 7.0559168844641205, 'seagull': 7.022755907015383, 'rebel': 6.892049882449807, 'donor': 7.4562027978420895, 'winner': 6.765936738784251, 'bed': 7.253335929516755, 'tractor': 6.918123326172139, 'stable': 6.801554429251673, 'shoelace': 7.490524923841939, 'parrot': 7.113844234904278, 'baby': 6.671856934555836, 'community': 7.0313018532931855, 'house': 6.9201640233795025, 'virus': 6.8244501557469235, 'scapegoat': 7.24001368732315, 'eagle': 7.233759755749265, 'cactus': 7.12499496727726, 'patient': 7.168252313670461, 'magazine': 7.145024087325896, 'suburb': 7.30337103717422, 'apple': 6.972249763834987, 'tomato': 7.13988932113924, 'cauliflower': 7.488271477124482, 'elbow': 7.520995375511124, 'editorial': 7.323655463385447, 'pizza': 6.967351782801892, 'captive': 6.867630642958937, 'critic': 7.431531607609135, 'lover': 6.692175511244699}",True,1.95,v4.0,7.0
w42998e8,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'idol': 7.070720907267289, 'daisy': 7.644208303637812, 'walrus': 7.213044067596679, 'ozone': 7.443897743659576, 'seagull': 7.424739092530426, 'enemy': 7.107979226745429, 'patient': 7.096396257646994, 'tractor': 7.3609810509496585, 'rouge': 7.444505803422898, 'hamburger': 7.155165559851151, 'traitor': 6.926160438169169, 'villain': 7.2402411159579, 'refrigerator': 7.384109142463321, 'jeans': 7.349682210772429, 'octopus': 7.102238423213517, 'personnel': 6.931895244223978, 'neck': 7.427864689723755, 'stairs': 7.496203438436177, 'virus': 7.014807548667092, 'grizzly': 6.998021292312518, 'mister': 7.027134981757712, 'tiger': 7.38208943575746, 'banana': 7.1083090552926675, 'barracuda': 7.414570729682858, 'penguin': 7.270694004894061, 'roost': 6.713403627143367, 'pig': 6.935331257695981, 'editorial': 7.388445943985704, 'donor': 7.146948068724125, 'stable': 6.913878479316903, 'apple': 6.984897256285943, 'keeper': 7.258377957380596, 'cactus': 7.450709664570663, 'cue': 7.196837355650014, 'agent': 6.906629882676399, 'volunteer': 6.905293316099581, 'saxophone': 7.1760240199115914, 'ear': 7.033060920545551, 'critic': 7.518559589364634, 'magazine': 7.149304439912936}",True,2.09,v4.0,8.0
