wid,pretest_type,critical_type,overlay,train_presentation_duration,recall_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_pretest,bonus_rate_distractor,bonus_rate_speed,afc_scores,completed,bonus,version,math_correct
we7df13c,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'application': 7.979852078046839, 'barracuda': 8.167822193140877, 'grizzly': 7.896163804091564, 'house': 8.062570780977548, 'walrus': 7.6902970638174, 'pig': 7.495709550070664, 'hero': 7.710976404168059, 'cue': 8.201298417662176, 'gravel': 7.835022011692861, 'electron': 7.790268548387597, 'tomato': 7.66413974411017, 'bug': 7.499287472681242, 'daisy': 7.564125793579707, 'critic': 7.731902472588892, 'bed': 7.597803496204555, 'community': 7.923976149068001, 'baby': 7.538486000919414, 'idol': 7.4116797043327125, 'roost': 7.887190419849538, 'stable': 7.599106694081339}",True,0.93,v5.0,10.0
wa986f14,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'goat': 7.973054793368892, 'cactus': 8.164531453821711, 'critic': 8.384158215544037, 'atom': 7.608578682217588, 'octopus': 7.964702837265882, 'finger': 7.564121762899998, 'virus': 7.843574291251443, 'application': 7.712660554091318, 'stable': 7.821253664040299, 'cookie': 8.06761967943028, 'saxophone': 7.264811532555128, 'transplant': 7.965647831712993, 'donor': 7.596245179318752, 'scenery': 7.6473398501015035, 'patient': 7.543889715509182, 'tractor': 7.569575006979441, 'magazine': 7.847988670313199, 'well': 7.409249084032091, 'parrot': 7.489358023795827, 'quill': 7.670989174708449}",True,0.8,v5.0,8.0
wee31ffa,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'stairs': 8.147678628231354, 'house': 7.781673208506237, 'pizza': 7.775209967559518, 'chimney': 7.976164860096815, 'horse': 7.931173803949051, 'quill': 7.720619809684908, 'crook': 7.621377876412301, 'saxophone': 8.364338986710388, 'roost': 7.555567797233706, 'rouge': 8.038688001142882, 'vagrant': 7.84870980030632, 'tart': 7.559667930781935, 'idol': 8.037340299050937, 'personnel': 8.176790895376438, 'shoelace': 8.378585025615429, 'flower': 7.567160099981442, 'suburb': 7.769120038302071, 'empire': 7.962734730922162, 'elbow': 7.5741938614083795, 'cue': 7.577919184067649}",True,0.93,v5.0,10.0
w610c219,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'walrus': 8.249287864663259, 'cookie': 8.067791751190105, 'consumer': 7.849392120693164, 'critic': None, 'goddess': 7.825014474006568, 'rebel': 8.010735702842672, 'fellow': 8.190611643199247, 'department': 8.68151972956822, 'seagull': 7.828018723038887, 'elephant': 7.914656484370099, 'captive': 7.906586971734623, 'goat': 8.88124795599672, 'agent': 8.076797253876977, 'house': 7.730479538672275, 'octopus': 8.39967608300271, 'cauliflower': 8.48874452060483, 'daisy': 8.522527328334013, 'hero': 7.992747113850522, 'ear': 7.49138628545375, 'atom': 8.404891866450214}",True,0.96,v5.0,9.0
w2ab49bf,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'pizza': 7.850905286846995, 'scapegoat': 7.883073255167205, 'atom': 8.106952764435304, 'walrus': 7.827402454288646, 'patient': 8.373016269268838, 'banana': 7.7214722948167305, 'enemy': 7.789527239806986, 'rebel': 8.339622937266606, 'captive': 8.198649050786278, 'stairs': 8.123621548193947, 'ear': 7.619783330881037, 'volunteer': 8.255289245156002, 'permit': 7.829729709683872, 'house': 7.607116547640146, 'shoelace': 8.035837751110527, 'handkerchief': 8.523789323906236, 'suburb': 7.867173334324178, 'pitchfork': 8.101784639488681, 'crook': 7.8356298291557716, 'antelope': 7.974478256232562}",True,0.78,v5.0,7.0
w913960d,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'roost': 9.255685906600617, 'tread': None, 'flower': 8.696455459458077, 'lover': 8.50515456159975, 'penguin': 8.051645832563295, 'atom': 8.35872442998779, 'cauliflower': 8.878560892461142, 'gravel': 8.237227244338674, 'consumer': 8.595218545755623, 'jeans': 8.609704845583869, 'pig': None, 'winner': 8.800003553371598, 'tomato': 9.10585854108326, 'transplant': 8.924074235294938, 'stranger': 8.806340095248817, 'bug': 8.05478147400654, 'apple': 8.534238412499795, 'pillow': 8.406055974833953, 'stable': 8.78064138793917, 'empire': 9.207037256737467}",True,0.63,v5.0,9.0
w0d244c0,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'cue': 7.864020627453268, 'bug': None, 'follower': 8.418014612142917, 'suburb': 8.310718596993752, 'rouge': 8.544485237404322, 'finger': None, 'bed': None, 'penguin': None, 'application': None, 'frog': 8.28573287806189, 'carrot': None, 'scenery': None, 'patient': None, 'house': 8.125306016650656, 'electron': 8.310843649903566, 'quill': 8.581603293366166, 'fellow': 8.04884724610188, 'well': None, 'pitchfork': None, 'antelope': 8.244648548101324}",True,0.82,v5.0,4.0
w48a91d2,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'roost': 9.318150661078056, 'vagrant': 8.7379423919691, 'volunteer': 8.847705584891093, 'cauliflower': 8.8524627116656, 'critic': 9.366709871616393, 'permit': 8.120386435830078, 'crook': 8.037346186179546, 'tulip': 8.51185913465619, 'hamburger': 8.330364434045961, 'tiger': 7.84505948599451, 'antelope': 8.935746872045302, 'chimney': 8.464575241665907, 'walrus': 9.41437731989168, 'quill': 8.477255859996589, 'suburb': 8.78287394001312, 'pitchfork': None, 'major': 8.100113849831517, 'tart': 8.737933637925208, 'goddess': 8.310242541524573, 'baby': 8.320863209519024}",True,0.8,v5.0,9.0
w680cf84,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'chimney': None, 'critic': None, 'follower': None, 'barracuda': None, 'crook': None, 'parrot': None, 'magazine': None, 'keeper': None, 'carrot': None, 'idol': None, 'enemy': None, 'consumer': None, 'banana': None, 'cue': None, 'handkerchief': None, 'sand': None, 'hamburger': None, 'daisy': None, 'donor': None, 'agent': None}",True,0.57,v5.0,5.0
w41e7597,simple-recall,multi-recall,True,2000,15000,,5000,10,2,10,2,1,1,1,0.25,"{'ozone': 9.455416629783938, 'carrot': 9.155099481528273, 'goddess': 8.900043006702044, 'application': None, 'goat': 8.667578200222524, 'idol': None, 'roost': 8.5362158967462, 'jeans': None, 'fellow': 9.12165480138575, 'saxophone': None, 'apple': 9.711179175189736, 'penguin': None, 'handkerchief': None, 'agent': 8.750587754405098, 'dandelion': None, 'editorial': 8.99910182896427, 'rebel': 8.335544592740549, 'cookie': 8.35523569260637, 'tread': 8.97794724950347, 'pig': 8.60880082686409}",True,0.65,v5.0,8.0
