wid,practice,presentation_times,first_seen,first_word,second_word,choice,choice_rt,typing_rt,response_type,word,response,response_rt
w81e5ffa,True,"[922.2999999523163, 738.2999999523163, 431, 400.2999999523163, 399.0, 376.7000000476837, 329.7999999523163, 410.30000019073486, 361.7999999523163, 4516.399999856949, 2808.4000000953674]",left,villain,dandelion,left,11694.299999952316,13248.599999904633,timeout,,,
w81e5ffa,False,"[1103.2000000476837, 849.4000000953674, 1386.7999999523163, 1094.7999999523163, 2852.2999999523163, 2524.4000000953674, 562.4000000953674, 1830.1999998092651, 2821.600000143051]",left,captive,refrigerator,,,,timeout,,,
w81e5ffa,False,"[1603.1000001430511, 1003.2000000476837, 1562.7999999523163, 1736.5, 364.5, 2090.7999999523163]",left,ghost,strawberry,left,8360.900000095367,9875.700000047684,intrusion,ghost,octopus,12366.0
w81e5ffa,False,"[1326.5, 980.5, 734.2999999523163, 662.4000000953674, 1407.2000000476837, 1330.5, 410.09999990463257, 3577.7000000476837]",left,electron,baby,right,10429.200000047684,12317.099999904633,timeout,,,
w81e5ffa,False,"[1100.9000000953674, 843.2999999523163, 434.5, 713.2999999523163, 415.2000000476837, 1466.1000001430511]",left,parrot,empire,right,4973.300000190735,5666.800000190735,intrusion,empire,octopus,8924.100000143051
w81e5ffa,False,"[789.0, 1130.7999999523163, 552.7000000476837, 1139.0, 507.59999990463257, 2382]",right,stable,quill,left,6501.099999904633,7511.799999952316,intrusion,quill,elephant,11194.799999952316
w81e5ffa,False,"[579.8999998569489, 930.7999999523163, 2794.100000143051, 486.59999990463257, 1309.7000000476837, 425.7000000476837, 1154.5999999046326]",left,traitor,penguin,left,7681.399999856949,,timeout,,,
w81e5ffa,False,"[1016.9000000953674, 3282.0, 2215.5999999046326]",right,atom,pig,right,6514.5,7502.400000095367,correct,atom,atom,9646.100000143051
w81e5ffa,False,"[698.2999999523163, 1893.4000000953674, 586.0, 2151.0, 1523.7000000476837, 463.2000000476837, 436.59999990463257, 817.5]",right,tomato,vagrant,left,8569.700000047684,10553.200000047684,other,vagrant,class,11848.600000143051
w81e5ffa,False,"[1038.7000000476837, 516.2999999523163, 1560.5999999046326]",right,agent,bed,right,3115.5999999046326,4076.0,correct,agent,agent,6817.299999952316
w81e5ffa,False,"[837.5999999046326, 470.2999999523163, 843.6000001430511, 369.89999985694885, 743.9000000953674]",right,fellow,daisy,right,3265.2999999523163,4318.5,correct,fellow,fellow,7846.399999856949
w81e5ffa,False,"[716.0999999046326, 568.9000000953674, 553.4000000953674, 676.8999998569489, 486.7000000476837, 429.59999990463257, 466.80000019073486, 401.2999999523163, 328.5, 337.5, 1269.3999998569489]",left,tart,cactus,left,6235.099999904633,7115.400000095367,intrusion,tart,octopus,9769.599999904633
w81e5ffa,False,"[966.3000001907349, 642.7999999523163, 501.2000000476837, 608.7999999523163, 420.59999990463257, 518.7999999523163, 1985.8000001907349]",right,personnel,chimney,right,5644.300000190735,6517.600000143051,other,personnel,classy,10918.800000190735
w81e5ffa,False,"[678.0, 922.2999999523163, 416.0, 1626.3000001907349, 382.19999980926514, 2600.4000000953674]",right,stairs,lover,left,6625.200000047684,7381.0,intrusion,lover,baby,8873.100000143051
w81e5ffa,False,"[857.4000000953674, 399.2000000476837, 408.09999990463257, 417.7000000476837, 406.7999999523163, 398.2999999523163, 1967.0]",right,patient,elephant,left,4854.5,5770.700000047684,other,elephant,patience,12751.600000143051
