wid,word,image,practice,block,rt,typing_rt,response,type_time,response_type
w6dcb1db,shoelace,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,True,1,1,3137,shoelace,3135.300000000745,correct
w6dcb1db,well,../static/stimuli/images/temple/sun_aeurbzlgbulzilum.jpg,False,1,1,1903,well,1902.0999999996275,correct
w6dcb1db,house,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,1,0,6925,house,6924.800000000745,correct
w6dcb1db,suburb,../static/stimuli/images/laundryroom/sun_amdxqjichaqshdel.jpg,False,1,1,4070,suburbs,4069.199999999255,correct
w6dcb1db,winner,../static/stimuli/images/ziggurat/sun_amuijzzaceciuwpo.jpg,False,1,0,2909,winner,2908.5999999996275,correct
w6dcb1db,penguin,../static/stimuli/images/windmill/sun_adstnygbbvkhooog.jpg,False,1,0,8056,,8055.799999998882,empty
w6dcb1db,bug,../static/stimuli/images/bookstore/sun_aalyndhausktwxbc.jpg,False,1,0,4424,,4423.700000001118,empty
w6dcb1db,application,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,False,1,1,3478,grass,3477.699999999255,other
w6dcb1db,tiger,../static/stimuli/images/sky/sun_awdlpzaohypbcfjk.jpg,False,1,1,4072,,4071.800000000745,empty
w6dcb1db,goddess,../static/stimuli/images/volcano/sun_aojnxwnexkwltvvx.jpg,False,1,0,2737,goddess,2736.9000000003725,correct
w6dcb1db,jeans,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,1,0,3310,,3309.2999999988824,empty
w6dcb1db,roost,../static/stimuli/images/musuem/sun_axbkhklgdaevqxyj.jpg,False,1,0,4720,,4719.5,empty
w6dcb1db,lover,../static/stimuli/images/underwater/sun_aojrtoikxmtgzchi.jpg,False,1,0,2723,lover,2722.0999999996275,correct
w6dcb1db,tart,../static/stimuli/images/roof/sun_awyytziajjpreuke.jpg,False,1,0,2479,,2478.699999999255,empty
w6dcb1db,major,../static/stimuli/images/beach/sun_aaapvfgggrgorgox.jpg,False,1,0,6591,large,6590.0999999996275,other
w6dcb1db,villain,../static/stimuli/images/street/sun_avxrcniddstcuuuc.jpg,False,1,0,6258,boat,6257.0999999996275,other
w6dcb1db,banana,../static/stimuli/images/ranch/sun_adlocewvkpbsaigj.jpg,False,1,1,4124,,4123.4000000003725,empty
w6dcb1db,elephant,../static/stimuli/images/tower/sun_augaqwzgrksvvsgf.jpg,False,1,1,4451,,4450.0,empty
w6dcb1db,transplant,../static/stimuli/images/castle/sun_apbjjqvsvrybtdua.jpg,False,1,0,4016,traverse,4015.2000000011176,other
w6dcb1db,quill,../static/stimuli/images/restaurant/sun_anyzuaevahatwgti.jpg,False,1,0,3655,,3654.4000000003725,empty
w6dcb1db,department,../static/stimuli/images/computerroom/sun_adsueslplqfnwvqd.jpg,False,1,0,3768,,3767.300000000745,empty
w6dcb1db,hamburger,../static/stimuli/images/vineyard/sun_amazvkispkonazvz.jpg,False,1,0,3150,hamburger,3149.0,correct
w6dcb1db,goat,../static/stimuli/images/waterfall/sun_awrontvhyysjfacv.jpg,False,1,1,3635,,3634.0999999996275,empty
w6dcb1db,grizzly,../static/stimuli/images/garage/sun_danujvtkymldhxqn.jpg,False,1,0,1457,,1456.0999999996275,empty
w6dcb1db,eagle,../static/stimuli/images/greenhouse/sun_bxiwqwbzndahlxxp.jpg,False,1,1,2008,eagle,2007.0999999996275,correct
w6dcb1db,pizza,../static/stimuli/images/airport/sun_aonhxkxmksvewqlr.jpg,False,1,1,2524,,2523.300000000745,empty
w6dcb1db,keeper,../static/stimuli/images/gym/sun_arcsudfqyrphzccy.jpg,False,1,1,2880,,2879.800000000745,empty
w6dcb1db,walrus,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,False,1,0,2231,,2230.800000000745,empty
w6dcb1db,antelope,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,False,1,0,3076,,3075.9000000003725,empty
w6dcb1db,consumer,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,False,1,1,2422,consumer,2421.300000000745,correct
w6dcb1db,patient,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,False,1,0,2904,,2903.0,empty
w6dcb1db,pitchfork,../static/stimuli/images/skiresort/sun_akfvworuwhgwukzv.jpg,False,1,1,4995,pitchfork,4994.300000000745,correct
w6dcb1db,dandelion,../static/stimuli/images/footballfield/sun_aadxnjugrvhqyufw.jpg,False,1,0,2456,dandelion,2455.0999999996275,correct
w6dcb1db,scapegoat,../static/stimuli/images/shoppingmall/sun_aqmgjlthiepxfbtd.jpg,False,1,1,4441,rude,4440.0999999996275,other
w6dcb1db,idol,../static/stimuli/images/subway/sun_amwmhabnpkxinmtz.jpg,False,1,1,3802,,3800.9000000003725,empty
w6dcb1db,electron,../static/stimuli/images/warehouse/sun_aadtsgkouwrqwvwl.jpg,False,1,1,2786,,2785.199999999255,empty
w6dcb1db,gravel,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,False,1,1,2597,gravel,2596.2999999988824,correct
w6dcb1db,sand,../static/stimuli/images/grocery/sun_ahmoznrxomkgrris.jpg,False,1,1,2659,,2658.5,empty
w6dcb1db,ozone,../static/stimuli/images/auditorium/sun_amogjvmhqoxmxbyg.jpg,False,1,1,2233,ozone,2232.7000000011176,correct
w6dcb1db,elbow,../static/stimuli/images/theater/sun_alttxbnfjyibouth.jpg,False,1,1,2082,,2081.300000000745,empty
w6dcb1db,shoelace,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,2,1,2697,shoelace,2696.699999999255,correct
w6dcb1db,pitchfork,../static/stimuli/images/skiresort/sun_akfvworuwhgwukzv.jpg,False,2,1,2564,pitchfork,2563.199999999255,correct
w6dcb1db,idol,../static/stimuli/images/subway/sun_amwmhabnpkxinmtz.jpg,False,2,1,1579,idol,1578.3999999985099,correct
