wid,word,image,practice,block,typing_rt,response_type,response,type_time,rt
wdb2db20,jet,../static/stimuli/images/campsite/sun_arwteuvpegqctvcg.jpg,True,1,10525.0,timeout,,,
wdb2db20,ceramics,../static/stimuli/images/computerroom/sun_adsueslplqfnwvqd.jpg,False,1,,timeout,,,
wdb2db20,partner,../static/stimuli/images/kitchen/sun_aqeaevwwwjoqhzvl.jpg,False,1,2830.0,timeout,,,
wdb2db20,cylinder,../static/stimuli/images/musuem/sun_aspbwvercyqvrrkn.jpg,False,1,3062.0,timeout,,,
wdb2db20,cheese,../static/stimuli/images/greenhouse/sun_bmzsunjewvlfjojq.jpg,False,1,1950.0,timeout,,,
wdb2db20,server,../static/stimuli/images/castle/sun_aduovtnrsmdtcpie.jpg,False,1,3494.0,timeout,,,
wdb2db20,tourist,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,False,1,2981.0,timeout,,,
wdb2db20,ornament,../static/stimuli/images/skiresort/sun_agehhpppqkifjwhn.jpg,False,1,3678.0,timeout,,,
wdb2db20,tail,../static/stimuli/images/gym/sun_awvqsdkrklypaaep.jpg,False,1,3103.0,timeout,,,
wdb2db20,instructor,../static/stimuli/images/river/sun_atesawsfypjpyefy.jpg,False,1,7006.0,timeout,,,
wdb2db20,wine,../static/stimuli/images/bookstore/sun_aauabdbreuzsnnrv.jpg,False,1,5966.0,timeout,,,
wdb2db20,camera,../static/stimuli/images/restaurant/sun_ajsstbpxnharlnnf.jpg,False,1,7247.0,timeout,,,
wdb2db20,cloud,../static/stimuli/images/volcano/sun_aojnxwnexkwltvvx.jpg,False,1,,timeout,,,
wdb2db20,antenna,../static/stimuli/images/pool/sun_alkvkavnnunmdavq.jpg,False,1,,timeout,,,
wdb2db20,slug,../static/stimuli/images/waterfall/sun_acijjmbhzvfdnsrt.jpg,False,1,3142.0,other,idk,1104.0,4246.0
wdb2db20,siding,../static/stimuli/images/vineyard/sun_apdbcyzwitltnzyz.jpg,False,1,5598.0,other,idk,776.0,6374.0
wdb2db20,sage,../static/stimuli/images/house/sun_aacohnpwcrythslq.jpg,False,1,1318.0,other,idk,608.0,1926.0
wdb2db20,passenger,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,1,1831.0,other,idk,752.0,2582.0
w3980268,blanket,../static/stimuli/images/roof/sun_asrztwexxagrlhem.jpg,True,1,1846.0,correct,blanket,1600.0,3446.0
w3980268,document,../static/stimuli/images/river/sun_ahmmzoezbuevqzjm.jpg,False,1,1495.0,correct,document,1736.0,3231.0
w3980268,garbage,../static/stimuli/images/bookstore/sun_azkcgugtqfaunxwq.jpg,False,1,1343.0,correct,garbage,1136.0,2479.0
w3980268,beaver,../static/stimuli/images/beach/sun_aacgcodmtsyjjmbx.jpg,False,1,2111.0,correct,beaver,1824.0,3935.0
w3980268,scapegoat,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,False,1,,timeout,,,
w3980268,cab,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,1,,timeout,,,
w3980268,cross,../static/stimuli/images/ziggurat/sun_apdphtulomykrqoa.jpg,False,1,5695.0,correct,cross,1112.0,6808.0
w3980268,message,../static/stimuli/images/ranch/sun_atkydlwjcpmattts.jpg,False,1,,timeout,,,
w3980268,gangster,../static/stimuli/images/greenhouse/sun_bhxqibazllyrcpje.jpg,False,1,1727.0,correct,gangster,2456.0,4183.0
w3980268,stadium,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,False,1,7311.0,other,gutter,752.0,8063.0
w3980268,carton,../static/stimuli/images/grocery/sun_attfybmngdqnppeu.jpg,False,1,1238.0,correct,carton,696.0,1934.0
w3980268,museum,../static/stimuli/images/volcano/sun_abmqyijpgbakeqkm.jpg,False,1,10232.0,other,music,3864.0,14096.0
w3980268,smog,../static/stimuli/images/subway/sun_axdrpmtfwsncbewy.jpg,False,1,2951.0,correct,smog,616.0,3567.0
w3980268,lady,../static/stimuli/images/pool/sun_argikopryamoycho.jpg,False,1,1175.0,correct,lady,600.0,1775.0
w3980268,chisel,../static/stimuli/images/railway/sun_alhsawcptyqiooss.jpg,False,1,6928.0,other,clipper,1152.0,8080.0
w3980268,thimble,../static/stimuli/images/footballfield/sun_ahqkbelqgjflpbjo.jpg,False,1,2095.0,correct,thimble,2104.0,4199.0
w3980268,microphone,../static/stimuli/images/warehouse/sun_ainoacwsquefrlbr.jpg,False,1,3879.0,other,music,4056.0,7935.0
w3980268,medal,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,1,10608.0,other,garden,2592.0,13200.0
w3980268,cashier,../static/stimuli/images/skiresort/sun_aczexzwhbzruewdm.jpg,False,1,6256.0,intrusion,chisel,600.0,6855.0
w3980268,leopard,../static/stimuli/images/kitchen/sun_avlgzqfdedxwbiei.jpg,False,1,8896.0,other,luscious,2128.0,11024.0
w3980268,whip,../static/stimuli/images/windmill/sun_alrghzshdjgnywto.jpg,False,1,3327.0,other,clipper,1048.0,4375.0
w3980268,prairie,../static/stimuli/images/underwater/sun_aktxgxoebrjkepur.jpg,False,1,7056.0,empty,,0.0,7056.0
w3980268,pipe,../static/stimuli/images/castle/sun_apkncxxjepzqmdyk.jpg,False,1,9368.0,empty,,0.0,9368.0
w3980268,portrait,../static/stimuli/images/sky/sun_alpjwwozdavjucpu.jpg,False,1,1551.0,correct,portrait,2192.0,3743.0
w3980268,emperor,../static/stimuli/images/forest/sun_arwykvgzpgybhibg.jpg,False,1,6680.0,intrusion,scene,1416.0,8096.0
w3980268,scalpel,../static/stimuli/images/tower/sun_aqbekeygojzsbcsp.jpg,False,1,4439.0,correct,scalpel,2472.0,6911.0
w3980268,iron,../static/stimuli/images/vineyard/sun_azygdhuijrbfollv.jpg,False,1,7048.0,timeout,,,
w3980268,husband,../static/stimuli/images/theater/sun_alttxbnfjyibouth.jpg,False,1,1439.0,correct,husband,4072.0,5511.0
w3980268,necklace,../static/stimuli/images/auditorium/sun_ahxfbcfdtvgnrivf.jpg,False,1,5856.0,empty,,0.0,5856.0
w3980268,radiator,../static/stimuli/images/waterfall/sun_amyxrbqiudksvqun.jpg,False,1,10656.0,other,report,2056.0,12712.0
w3980268,fireman,../static/stimuli/images/musuem/sun_akxippvbzxkxmejj.jpg,False,1,7976.0,empty,,0.0,7976.0
w3980268,screen,../static/stimuli/images/computerroom/sun_atznfxhjiiugbvxi.jpg,False,1,1150.0,correct,screen,1184.0,2334.0
w3980268,muffin,../static/stimuli/images/garage/sun_dmxrwdsmpakdmytc.jpg,False,1,,timeout,,,
w3980268,treat,../static/stimuli/images/campsite/sun_agjhcohmxuuaimig.jpg,False,1,,timeout,,,
w3980268,mirror,../static/stimuli/images/shoppingmall/sun_aeqagrktttxaasae.jpg,False,1,6000.0,empty,,1208.0,7208.0
w3980268,author,../static/stimuli/images/downtown/sun_bzwgvgvsqqpbjfwc.jpg,False,1,3639.0,empty,,3912.0,7552.0
w3980268,crater,../static/stimuli/images/airport/sun_akhqgzrrubgnwzpa.jpg,False,1,7072.0,empty,,0.0,7072.0
w3980268,father,../static/stimuli/images/street/sun_agtpyiscmdidhpgk.jpg,False,1,1439.0,correct,father,1064.0,2503.0
w3980268,germ,../static/stimuli/images/restaurant/sun_afgriceqykrjokmt.jpg,False,1,5135.0,other,scenic,4352.0,9487.0
w3980268,skate,../static/stimuli/images/gym/sun_awvqsdkrklypaaep.jpg,False,1,5175.0,other,skateboard,6233.0,11408.0
w3980268,thimble,../static/stimuli/images/footballfield/sun_ahqkbelqgjflpbjo.jpg,False,2,1191.0,correct,thimble,1160.0,2351.0
w3980268,carton,../static/stimuli/images/grocery/sun_attfybmngdqnppeu.jpg,False,2,1055.0,correct,carton,704.0,1759.0
w3980268,cashier,../static/stimuli/images/skiresort/sun_aczexzwhbzruewdm.jpg,False,2,5440.0,intrusion,chisel,960.0,6400.0
w3980268,scalpel,../static/stimuli/images/tower/sun_aqbekeygojzsbcsp.jpg,False,2,1767.0,correct,scalpel,1864.0,3631.0
w3980268,emperor,../static/stimuli/images/forest/sun_arwykvgzpgybhibg.jpg,False,2,1143.0,correct,emperor,1952.0,3095.0
w3980268,message,../static/stimuli/images/ranch/sun_atkydlwjcpmattts.jpg,False,2,1191.0,correct,message,2712.0,3903.0
w3980268,mirror,../static/stimuli/images/shoppingmall/sun_aeqagrktttxaasae.jpg,False,2,1255.0,correct,mirror,928.0,2183.0
w3980268,necklace,../static/stimuli/images/auditorium/sun_ahxfbcfdtvgnrivf.jpg,False,2,1198.0,correct,necklace,1016.0,2214.0
w3980268,garbage,../static/stimuli/images/bookstore/sun_azkcgugtqfaunxwq.jpg,False,2,1111.0,correct,garbage,1048.0,2159.0
w3980268,whip,../static/stimuli/images/windmill/sun_alrghzshdjgnywto.jpg,False,2,1143.0,correct,whip,2048.0,3191.0
w3980268,medal,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,2,8032.0,other,chair,1848.0,9880.0
w3980268,author,../static/stimuli/images/downtown/sun_bzwgvgvsqqpbjfwc.jpg,False,2,2407.0,correct,author,1136.0,3543.0
w3980268,scapegoat,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,False,2,1471.0,correct,scapegoat,4272.0,5744.0
w3980268,beaver,../static/stimuli/images/beach/sun_aacgcodmtsyjjmbx.jpg,False,2,1679.0,correct,beaver,648.0,2327.0
w3980268,stadium,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,False,2,1726.0,correct,stadium,1968.0,3695.0
