wid,Q0,Q1,Q2,Q3
wf1e76ec,It felt a little long,No,No,
w0a28cf4,"no, they were fine","no, it worked well",everything worked fine,That was hard!
w1e27c75,No.,No.,No.,I think I got one wrong in the final test because I put a space at the end which seems harsh if that was the case. Not that I expect you to prove me right or wrong personally as I noticed it quickly but I'm more thinking that if what I thought I saw is true then someone might've done much worse because of it. My apologies if this is false and I've just seen something wrong.
w8b27b76,no the instructions were clear,no,no,no
wbc79f63,no,no,no,
w68042bc,easy to understand,easy to use,no,no
we9a3929,I did find the last task a bit hard to understand and thought it was a bit cruel only having one practise round.,"Yes, in the last task. Hard to remember all the keys needed, especially since you have to take your hands off them to type the world. I miss clicked because of this.",,
w3c30b10,,,,
w0ff2325,no,no,no,
web5b5b4,no,no,no,
w86d65f2,,,,
w2f58008,The main instructions weren't confusing but I found the final task quite confusing because it started without me realising and so I started with answering the pairing from the practise round. Also I didn't know if you got the answer wrong if it then changed the pairing or it would stay there until you answered it correctly. I got used to it but that was the only part of the instructions I struggled with.,"No, it was very clear and easy to use",No I did not experience any technical problems,That study was challenging and quite fun. I'm always surprised with how much you can begin to recognise and answer the pairings without really thinking once you've seen them a few times. Thank you!
wcc762ef,no,no,no,
we2b99fe,No,No,No,No comments
w4b7162d,No,No,No,
we2750fa,No they were ok,The end section was a bit tricky,No,None
w73a81a9,a little confusing at first but got the hang of it after a while,not really,none,
w6eee2df,,,,
w0a2bdff,no,no,no,no
w0b76bb4,"Not at all, really well explained with just the right amount of practice! ",,,"Thanks, this was great fun :) "
webb4055,"No, the instructions were clear. I had difficulty with the key choices for selecting which image so I remembered only one and stuck with it.","No, completely fine. ",Nope,I like memory games like this
wf9c28f1,"No, the instructions were clear and precise.",No.,No.,No.
w4c5f3de,,,,
w9931506,I would say easy to understand.,nope,nope,None
w4445796,No very clear,no,no,fun thanks
wd9fa70b,"no, they were fine thank you","the last task... pressing letter keys was a bit annoying, maybe arrow keys could be used instead","none, thanks",Just to say that I used some mnemonic devices to help me remember the words and have a strong memory. I did not make any notes or use anything else to help me remember.
w27c8f85,Easy to understand,"No, all easy to use",No,Very good and enjoyable
wacf3b96,only the last section,only the last was a bit tricky,no,good luck with your study
w13c3a87,no,no,no,fun study :) 
w68066d9,No,"No, except in the final section, if you accidently press D or F before displaying an image with J or K you cannot then see either image. Would be better to display the image for the D or F key pressed in that instance.",No,
w6b28054,yes on part 3.,no,no,Good luck with the study thank you for allowing me to be part of it.
w590723c,no they were fine,all good,nope,thanks
wf70aa66,no,no,no,no
w8112bd2,no,no,no,no
w949030f,no everything was fine,no it was fairly easy to use,no technical issues,the study was very interesting thank you
we9b15c2,no,no,no,no
w3d98fe5,no,no,no,none
w1b9a803,No,No,No,
wc04421f,I couldn't remember which letters to use to display the pactures in the third test.,No,No,
w9cf18bb,,,,
waa14749,"easy to understand, apart from the jk and df part",Nope,It gave me incorrect answers for part 3 when I used a capital letter at the start of the word,
w476c44b,The instructions were perfect,"All went smoothly, very happy with the interface",No problems at all. ,
w9679584,no,no,no,
wf9f42b6,,,,
we314076,Not confusing at all,n/a,n/a,survey worked fine. Cant say if we had more exposure with each photo whether I'd of had better memorability. Found it easier to remember words associated semantically with the photo
w1c27002,no,no,no,I enjoyed this study
wb9950e8,"The instructions were confusing at first when it said ""pairs"" I thought I was memorise the pictures to match some of them.",No,No,I worked it out better in the second test.
wcf3842a,,,,
w5b50d43,Nope!,Nope!,Nope!,
wb28da9b,no they were perfect,no,no,"no, thanks"
w49b2284,yes very confusing,yes,i think i learnt along the way,the last test was very confusing
wd7f32ec,no,no,no,
w262f47b,they were fine,no,no,no
w86e8170,no,no,no,it was very difficuly to remember all those pictures with the words associated 
wf6680e0,no,no,no,no
w231164c,"No, they were fine.",No,No,No
w42b7c33,,,,
w38c3d28,no,no,no,no
w4cd495e,"No, the instructions were fine, but you could have showed after each image how many are remaining",not at all,"nope, all good",
wb47f6e4,,,,
wdd490d1,I found out that I was doing the wrong thing! I suppose to press enter,Yes,No,
w2ba6576,,,,I enjoyed it! 
w3b5c055,the instructions were fine,No,No,I accidentally got the france one wronf because I started typing france and it thought I wanted to do the right hand picture and I forgot what that one was. Otherwise I would have got them all right.
w5ccdc3d,Not at all.,Nope.,Nothing went wrong.,Thanks for letting me take part I really enjoy studies like this!
w14b6f2e,,,,
w714d7a2,no,no,no,none
waecabcf,,,,
w11361a2,,,,
w584be78,No it was fine,last one with the keys wasn't great,no,good thanks
we8f805f,Yeah,No near the end i got mixed up with the d and f and j and k. Would be easier if pressing the button twice confused the selection.,,
w21629b2,just right,no,no,fun to do
w2b9df14,"no, perfect",no,no,
w1ffdcfc,i found everything clear and easy to understand,not difficult at all,no problems,thank you for such an enjoyable study!!
w9bb461a,THEY WERE EASY TO UNDERSTAND,NOT REALLY,NO,THANKS
w4b7e5fc,totally fine,no,no,no
wd62a167,No they were clear.,No it was simple to use.,During the last part no images appeared just grey boxes. I had no idea what to write.,I found the task really difficult tbh. Thanks for the opportunity.
wa44d1b6,Instructions for last game were confusing,"nope, this was fine",no issue,i might have not understood the last game at all!
w9a0765c,No,No,No,No and thank you!
w525bd84,,,The last section just showed gray boxes,I know I got a few right in the 2nd section recall but whatever
w9d81078,No,No,No,Good fun!
w47f4943,no,YES I very much hated the interface as it was ridiculously difficult.,nop,Thanks
wc007b07,yes - i did not understand the last part at all - so just pressed entered,yes - last part,no,last part did not make sense
w1d21666,the last set was slightly confusing but the practice helped and was simple in the end,no,no,Thought I did well!!
web2cce0,"The instructions were worded very well, it was all easy to understand",The interface was very easy to understand and navigate,No technical problems,
w281b46d,no,no,no,no
w151d520,confusing in last round,no,yes on right hand side in last round,none
wea227df,easy to understand,no,no,i enjoyed this study
w4a72875,,,,
w73fbf06,They were fine,no,no,
w9471146,they were fine,"no, it was fine",none,no comment
web957a2,Nope,Nope,Nope,Nice experiment that!
w819c4ba,no,no,no,no
we1ef062,No,No,No,
