wid,word,image,practice,word_type,rt,typing_rt,response,type_time,response_type
wd7f2eac,elephant,../static/stimuli/images/waterfall/sun_ajezvlkzdsjjdnjm.jpg,True,high,1,2972.0,elephant,4011.835000001127,correct
wd7f2eac,agent,../static/stimuli/images/kitchen/sun_aizcycyyvgfcdnzp.jpg,True,low,1,1820.0,agent,2518.3949999990873,correct
wd7f2eac,territory,../static/stimuli/images/musuem/sun_ayrwspiydnlwhouo.jpg,True,low,2,1729.0,traitor,2846.249999998603,intrusion
wd7f2eac,major,../static/stimuli/images/street/sun_amjwoyuxrszlicsb.jpg,False,low,2,1167.0,major,1903.715000000433,correct
wd7f2eac,consumer,../static/stimuli/images/auditorium/sun_ahcmaddzrcfxzuuz.jpg,False,low,1,1001.0,consumer,1824.1199999975506,correct
wd7f2eac,stranger,../static/stimuli/images/beach/sun_aaapvfgggrgorgox.jpg,False,low,1,1061.0,stranger,1941.3449999992736,correct
wd7f2eac,gravel,../static/stimuli/images/theater/sun_arhrqrqrgyhlozgq.jpg,False,high,1,3318.0,gravel,5050.4650000002,correct
wd7f2eac,walrus,../static/stimuli/images/vineyard/sun_axkbfhmkopqemnsq.jpg,False,high,1,1384.0,walrus,2803.185000000638,correct
wd7f2eac,idol,../static/stimuli/images/castle/sun_aieefrkagxyksfuj.jpg,False,low,1,1020.0,idol,1529.2699999990873,correct
wd7f2eac,traitor,../static/stimuli/images/garage/sun_dmxrwdsmpakdmytc.jpg,False,low,1,1019.0,traitor,1874.7399999992922,correct
wd7f2eac,tiger,../static/stimuli/images/footballfield/sun_bytuhfnudnbsojli.jpg,False,high,2,6442.0,major,6958.314999999828,intrusion
wd7f2eac,refrigerator,../static/stimuli/images/grocery/sun_ahmoznrxomkgrris.jpg,False,high,1,1063.0,refrigerator,7975.824999997625,correct
wd7f2eac,personnel,../static/stimuli/images/roof/sun_awyytziajjpreuke.jpg,False,low,1,964.0,personnel,2920.845000000554,correct
wd7f2eac,pitchfork,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,False,high,1,958.0,pitchfork,8206.344999998691,correct
wd7f2eac,tractor,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,high,1,6354.0,elephant,7381.259999998263,intrusion
wd7f2eac,jeans,../static/stimuli/images/sky/sun_alpjwwozdavjucpu.jpg,False,high,1,962.0,jeans,1507.2250000012573,correct
wd7f2eac,goddess,../static/stimuli/images/campsite/sun_aommnycdukjoaebq.jpg,False,low,2,3739.0,goddess,5512.344999999274,correct
wd7f2eac,roost,../static/stimuli/images/computerroom/sun_atznfxhjiiugbvxi.jpg,False,low,1,1023.0,roost,3124.3800000010524,correct
wd7f2eac,elbow,../static/stimuli/images/windmill/sun_acijpcruwskdzwbx.jpg,False,high,1,1083.0,elbow,2078.89999999688,correct
wd7f2eac,goat,../static/stimuli/images/railway/sun_acfjiedtgqzgvtnp.jpg,False,high,2,992.0,goat,1644.704999998794,correct
