wid,word,image,practice,block,typing_rt,response,type_time,rt,response_type,judgement_type,judgement
wa170917,window,../static/stimuli/images/bookstore/sun_aalyndhausktwxbc.jpg,True,0,3746.0,bear,1788.0,5534.0,intrusion,confidence,1.0
wa170917,bed,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,True,0,5708.0,step,2697.0,8405.0,other,confidence,1.0
wa170917,toilet,../static/stimuli/images/shoppingmall/sun_ayhhurcrocmglxyx.jpg,True,0,3648.0,bear,2138.0,5786.0,intrusion,confidence,1.0
wa170917,computer,../static/stimuli/images/street/sun_aadhshmrjrbucdky.jpg,False,0,6511.0,hat,2217.0,8728.0,intrusion,confidence,1.0
wa170917,pig,../static/stimuli/images/underwater/sun_azotfggtynldgbwm.jpg,False,0,2231.0,tree,1437.0,3668.0,intrusion,confidence,1.0
wa170917,jeans,../static/stimuli/images/volcano/sun_aetnikjhplqgsznx.jpg,False,0,8261.0,duck,2276.0,10537.0,intrusion,confidence,1.0
wa170917,lawn,../static/stimuli/images/airport/sun_akhqgzrrubgnwzpa.jpg,False,0,7906.0,hat,3781.0,11687.0,intrusion,confidence,1.0
wa170917,cake,../static/stimuli/images/beach/sun_aafwmyqvqgtvdkce.jpg,False,0,6982.0,hat,1394.0,8376.0,intrusion,confidence,1.0
wa170917,dog,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,False,0,4557.0,door,1530.0,6087.0,intrusion,confidence,1.0
wa170917,nut,../static/stimuli/images/warehouse/sun_aboqyhgpfgwxwmut.jpg,False,0,2719.0,nut,1178.0,3897.0,correct,confidence,5.0
wa170917,horse,../static/stimuli/images/ranch/sun_amqejeymhjlanyvr.jpg,False,0,9862.0,hat,1497.0,11359.0,intrusion,confidence,1.0
wa170917,candle,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,False,0,3719.0,car,1270.0,4989.0,intrusion,confidence,1.0
wa170917,door,../static/stimuli/images/kitchen/sun_asrcfjusjydonoin.jpg,False,0,2335.0,door,1425.0,3760.0,correct,confidence,1.0
wa170917,heart,../static/stimuli/images/computerroom/sun_aagspgyvjmoiytfb.jpg,False,0,1639.0,heart,2325.0,3964.0,correct,confidence,5.0
wa170917,hat,../static/stimuli/images/sky/sun_aczjsyhtqawbyyer.jpg,False,0,3982.0,hat,1282.0,5264.0,correct,confidence,5.0
wa170917,apple,../static/stimuli/images/vineyard/sun_azygdhuijrbfollv.jpg,False,0,7095.0,apple,1878.0,8973.0,correct,confidence,5.0
wa170917,hay,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,False,0,3688.0,stair,2078.0,5766.0,other,confidence,1.0
wa170917,milk,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,0,8310.0,bone,1678.0,9988.0,intrusion,confidence,1.0
wa170917,fence,../static/stimuli/images/castle/sun_alevmcaohaqqwlic.jpg,False,0,2180.0,fence,1927.0,4107.0,correct,confidence,1.0
wa170917,flower,../static/stimuli/images/gym/sun_awstzxompuovdfck.jpg,False,0,3246.0,car,1220.0,4466.0,intrusion,confidence,1.0
wa170917,sand,../static/stimuli/images/downtown/sun_bzwgvgvsqqpbjfwc.jpg,False,0,4247.0,sand,2266.0,6513.0,correct,confidence,5.0
wa170917,snake,../static/stimuli/images/restaurant/sun_aiyfhlpenzexmqoi.jpg,False,0,2754.0,cup,1674.0,4428.0,intrusion,confidence,1.0
wa170917,bee,../static/stimuli/images/railway/sun_aprfapnfngmvbixm.jpg,False,0,8782.0,drop,3134.0,11916.0,intrusion,confidence,1.0
wa170917,ear,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,False,0,3846.0,pig,1394.0,5240.0,intrusion,confidence,1.0
wa170917,duck,../static/stimuli/images/skiresort/sun_aijypnsissxbdxyj.jpg,False,0,5522.0,duck,2295.0,7817.0,correct,confidence,5.0
wa170917,bone,../static/stimuli/images/footballfield/sun_aegayohtofbvbdoa.jpg,False,0,,,,,timeout,,
wa170917,puzzle,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,False,0,7761.0,puzzle,3309.0,11070.0,correct,confidence,5.0
wa170917,eye,../static/stimuli/images/roof/sun_awskptrfuzjyjwes.jpg,False,0,6136.0,floor,1661.0,7797.0,intrusion,confidence,1.0
wa170917,truck,../static/stimuli/images/grocery/sun_attfybmngdqnppeu.jpg,False,0,1305.0,truck,4070.0,5375.0,correct,confidence,5.0
wa170917,lion,../static/stimuli/images/greenhouse/sun_bmnxsjsqwqcaluzf.jpg,False,0,7023.0,bed,1005.0,8028.0,intrusion,confidence,1.0
wa170917,bag,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,False,0,3423.0,bag,1513.0,4936.0,correct,confidence,5.0
wa170917,bear,../static/stimuli/images/windmill/sun_aagvxopinmvnjsdt.jpg,False,0,6995.0,bear,1624.0,8619.0,correct,confidence,5.0
wa170917,bread,../static/stimuli/images/ziggurat/sun_aecdvzqgcesggjrp.jpg,False,0,3594.0,jeans,2234.0,5828.0,intrusion,confidence,5.0
wa170917,bird,../static/stimuli/images/tower/sun_akmnewliaqefdugs.jpg,False,0,5133.0,bird,2096.0,7229.0,correct,confidence,5.0
wa170917,cat,../static/stimuli/images/waterfall/sun_awrontvhyysjfacv.jpg,False,0,2443.0,ear,2663.0,5106.0,intrusion,confidence,5.0
wa170917,potato,../static/stimuli/images/subway/sun_abufzioeatuizeoh.jpg,False,0,5645.0,man,1599.0,7244.0,intrusion,confidence,1.0
wa170917,rabbit,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,0,2914.0,car,1235.0,4149.0,intrusion,confidence,1.0
