wid,block,practice,rt,word,target,lure,key,correct
wb73e3a0,1,True,3352.0,application,beach/sun_acbeypdvskqxwbrf,ranch/sun_acianlkkblpqgica,D,True
wb73e3a0,1,False,1576.0,patient,ziggurat/sun_agbaptlibgqhrwwn,gym/sun_awvqsdkrklypaaep,F,True
wb73e3a0,1,False,1823.0,pitchfork,railway/sun_aqlgoveofhhmvrdh,restaurant/sun_aejvqzvtonxptams,F,True
wb73e3a0,1,False,2071.0,banana,river/sun_advruofhmqeyqmbx,temple/sun_ahuwbjbhgegvnlsq,D,True
wb73e3a0,1,False,1190.0,walrus,downtown/sun_aljrvcabwnwkorml,shoppingmall/sun_aqmgjlthiepxfbtd,F,True
wb73e3a0,1,False,1089.0,bug,airport/sun_aqogketumcqznmzs,skiresort/sun_agpfoakkwrzedbll,D,True
wb73e3a0,1,False,2006.0,virus,warehouse/sun_agdmklchstfjclxg,laundryroom/sun_aenyfwnevttqnhhe,D,True
wb73e3a0,1,False,1373.0,tiger,tenniscourt/sun_auqykplyynyhxcas,sky/sun_abbtimwgskvvaeps,D,True
wb73e3a0,1,False,1098.0,pillow,sky/sun_abbtimwgskvvaeps,waterfall/sun_ahssvsymysusmiqw,D,True
wb73e3a0,1,False,956.0,hamburger,tower/sun_augaqwzgrksvvsgf,beach/sun_acbeypdvskqxwbrf,D,True
wb73e3a0,1,False,1039.0,rebel,temple/sun_ahuwbjbhgegvnlsq,grocery/sun_aczzweebuokhxnbb,D,True
wb73e3a0,1,False,1740.0,house,forest/sun_almbxcurjahdxery,garage/sun_delfxfnqyuiaselp,D,True
wb73e3a0,1,False,1058.0,fellow,castle/sun_aieefrkagxyksfuj,house/sun_aangbuylfvckqqoo,D,True
wb73e3a0,1,False,1993.0,shoelace,vineyard/sun_agfdrmftdzokxtnc,windmill/sun_awjnichhcaunlnrz,D,True
wb73e3a0,1,False,1680.0,carrot,house/sun_aangbuylfvckqqoo,vineyard/sun_agfdrmftdzokxtnc,D,True
wb73e3a0,1,False,2147.0,editorial,musuem/sun_agblrnoilxeknben,greenhouse/sun_bncgstrupskxwget,D,False
wb73e3a0,1,False,1322.0,parrot,skiresort/sun_agpfoakkwrzedbll,roof/sun_aqhqmhidvlrpfhie,F,True
wb73e3a0,1,False,1571.0,captive,pool/sun_antxeexzhaspkvlj,kitchen/sun_aovnyfewezfmgwke,F,True
wb73e3a0,1,False,3233.0,lover,roof/sun_aqhqmhidvlrpfhie,auditorium/sun_ahwnrxacspjqqqfm,F,True
wb73e3a0,1,False,2625.0,grizzly,gym/sun_awvqsdkrklypaaep,theater/sun_acehmgvyiimdorgz,F,True
wb73e3a0,1,False,1104.0,stranger,garage/sun_delfxfnqyuiaselp,campsite/sun_agjhcohmxuuaimig,D,True
wb73e3a0,1,False,2511.0,stable,laundryroom/sun_aenyfwnevttqnhhe,subway/sun_alfhdavatfhkuxyo,D,True
wb73e3a0,1,False,1760.0,department,underwater/sun_azotfggtynldgbwm,railway/sun_aqlgoveofhhmvrdh,D,True
wb73e3a0,1,False,1554.0,ghost,street/sun_aczwveqpgvcxtjxr,tenniscourt/sun_auqykplyynyhxcas,D,True
wb73e3a0,1,False,1217.0,atom,computerroom/sun_aknbqkyjmltzjpuf,street/sun_aczwveqpgvcxtjxr,F,True
wb73e3a0,1,False,1591.0,frog,bookstore/sun_aalyndhausktwxbc,computerroom/sun_aknbqkyjmltzjpuf,D,True
wb73e3a0,1,False,1646.0,empire,kitchen/sun_aovnyfewezfmgwke,forest/sun_almbxcurjahdxery,F,True
wb73e3a0,1,False,1786.0,horse,restaurant/sun_aejvqzvtonxptams,ziggurat/sun_agbaptlibgqhrwwn,D,True
wb73e3a0,1,False,2370.0,magazine,greenhouse/sun_bncgstrupskxwget,airport/sun_aqogketumcqznmzs,F,True
