wid,practice,image,kind,rt,response
wb73e3a0,True,shoppingmall/sun_addqytasyktafwmq,new,1289.0,new
wb73e3a0,False,roof/sun_airvzklrdchyytiu,new,821.0,new
wb73e3a0,False,beach/sun_aaapvfgggrgorgox,new,902.0,new
wb73e3a0,False,tenniscourt/sun_arhfignuhjkxcmvk,new,1422.0,new
wb73e3a0,False,greenhouse/sun_aahkpmrwfcwqyfcf,new,1040.0,new
wb73e3a0,False,laundryroom/sun_amdxqjichaqshdel,new,947.0,new
wb73e3a0,False,footballfield/sun_afuzusgbewygvixv,new,805.0,new
wb73e3a0,False,street/sun_amwdevcpkorkaqcv,new,724.0,new
wb73e3a0,False,gym/sun_akecysmtkjijrbqr,new,738.0,new
wb73e3a0,False,campsite/sun_agkgjmhhyqowlmdm,new,756.0,new
wb73e3a0,False,downtown/sun_abosdjemftsczdvd,new,1314.0,new
wb73e3a0,False,ranch/sun_ayvjppkciavpdbhs,new,633.0,new
wb73e3a0,False,castle/sun_apbjjqvsvrybtdua,new,653.0,new
wb73e3a0,False,theater/sun_arhrqrqrgyhlozgq,new,853.0,new
wb73e3a0,False,garage/sun_deomonrjnryvglit,new,902.0,new
wb73e3a0,False,windmill/sun_aagvxopinmvnjsdt,new,998.0,new
wb73e3a0,False,temple/sun_apdrdxoeskjgfrbj,new,712.0,new
wb73e3a0,False,musuem/sun_argfiirfjlkefabp,new,684.0,new
wb73e3a0,False,computerroom/sun_ashjjvtrfwzoxxij,new,1090.0,new
wb73e3a0,False,auditorium/sun_ahwuhefoqkvitxnk,new,716.0,new
wb73e3a0,False,underwater/sun_alunasorzxjzhjbv,new,780.0,new
wb73e3a0,False,forest/sun_arwykvgzpgybhibg,new,904.0,new
wb73e3a0,False,grocery/sun_ajfkrdilcurxubxd,new,738.0,new
wb73e3a0,False,warehouse/sun_ainoacwsquefrlbr,new,1007.0,new
wb73e3a0,False,river/sun_aiazxjumlgdcrfpn,new,920.0,new
wb73e3a0,False,ziggurat/sun_acuzsqtazskbhhve,new,944.0,new
wb73e3a0,False,volcano/sun_atcuupfdqteblxpx,new,707.0,new
wb73e3a0,False,kitchen/sun_axvexejcndazoqxl,new,710.0,new
wb73e3a0,False,airport/sun_ammfdrzrfvjsqahx,new,738.0,new
wb73e3a0,False,waterfall/sun_ajezvlkzdsjjdnjm,new,1645.0,new
wb73e3a0,False,restaurant/sun_afgriceqykrjokmt,new,881.0,new
wb73e3a0,False,sky/sun_aczjsyhtqawbyyer,new,669.0,new
wb73e3a0,False,tower/sun_akmnewliaqefdugs,new,802.0,new
wb73e3a0,False,vineyard/sun_axkbfhmkopqemnsq,new,824.0,new
wb73e3a0,False,subway/sun_agpnhsuccwnvcjwe,new,792.0,new
wb73e3a0,False,house/sun_azzyyehcunxuhihg,new,694.0,new
wb73e3a0,False,pool/sun_aahnsyqkaacnevsz,new,764.0,new
wb73e3a0,False,railway/sun_azmvasvseueupvyd,new,862.0,new
wb73e3a0,False,bookstore/sun_aamunjvxvlcyagxh,new,730.0,new
wb73e3a0,False,skiresort/sun_adyplaxglzqyoynb,new,748.0,new
w2610d96,True,volcano/sun_aetnikjhplqgsznx,new,3744.0,new
w2610d96,False,bookstore/sun_avsybhiblxqxcayh,new,2626.0,new
w2610d96,False,grocery/sun_ahmoznrxomkgrris,new,1266.0,new
w2610d96,False,kitchen/sun_ajmwiafzffjerzeb,new,1235.0,new
w2610d96,False,campsite/sun_amejpvolcgftwwch,new,1258.0,new
w2610d96,False,skiresort/sun_agpfoakkwrzedbll,new,1173.0,new
w2610d96,False,ranch/sun_acianlkkblpqgica,new,1054.0,new
w2610d96,False,forest/sun_augxrcssyuvvueda,new,1138.0,new
w2610d96,False,house/sun_abcaoiwkiofeweig,new,1504.0,new
w2610d96,False,laundryroom/sun_abdhkuiitfxcgncb,new,971.0,new
w2610d96,False,tower/sun_akmnewliaqefdugs,new,824.0,new
w2610d96,False,theater/sun_abldnlzotzlgclky,new,878.0,new
w2610d96,False,downtown/sun_bctdtcqciqgupefg,new,975.0,new
w2610d96,False,sky/sun_abbtimwgskvvaeps,new,913.0,new
w2610d96,False,shoppingmall/sun_aqmgjlthiepxfbtd,new,987.0,new
w2610d96,False,restaurant/sun_adozleohzzjtcftc,new,998.0,new
w2610d96,False,gym/sun_aljefikdfqefidfc,new,810.0,new
