wid,test_type,overlay,train_presentation_duration,critical_max_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_practice_critical,n_distractor,bonus_rate_critical,bonus_rate_critical_speed,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,completed,bonus,version,math_correct
wa90ba71,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,1.7425592000000003,v7.1,10.0
wb293a07,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.2387867999999997,v7.1,5.0
wa19546c,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.187247,v7.1,7.0
wf94d89d,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,1.8578299999999999,v7.1,6.0
w7a8f60e,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0230395999999984,v7.1,7.0
w14dc52d,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.1580576,v7.1,3.0
w9efd513,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0751432,v7.1,10.0
wc8241da,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0967892,v7.1,10.0
wdb2aa82,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.207826,v7.1,7.0
wd286ae7,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.1362099999999997,v7.1,2.0
w3621db0,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0550999999999995,v7.1,7.0
w62ddebf,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0143140000000006,v7.1,3.0
waebed0b,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0274900000000002,v7.1,7.0
wc4e1e41,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.1937740000000003,v7.1,8.0
wfe32f23,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,1.8460964,v7.1,8.0
wd1f3d18,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.1473130000000005,v7.1,7.0
w4d342a5,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0268482,v7.1,7.0
wb0a2df6,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,1.9010444,v7.1,7.0
wc1bbd5c,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.038506400000001,v7.1,4.0
w6789a4e,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.1653628,v7.1,3.0
w15c93a0,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0856689999999998,v7.1,4.0
w3043bc8,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.0750991999999986,v7.1,5.0
w32ddb76,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,1.3674362000000002,v7.1,0.0
wb85dab7,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.1971640000000003,v7.1,8.0
w1293321,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,1.6413000000000002,v7.1,0.0
w2bc78b8,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.2458776,v7.1,7.0
wa17c89f,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.1944813999999995,v7.1,9.0
w4fe2fc7,recognition,True,2000,5000,,5000,20,2,1,10,1,0.1,1,1,0.25,True,2.2488197999999997,v7.1,10.0
