,Q0,Q1,Q2,Q3,Q4
0,No,No,No,No,
1,no,no,no,no,
2,they were all consonants,no, no,no,nothing else
3,Sometimes (but not always?) there would be a related word in the middle of the string.,No,No,No,"That was fun, good luck with your research :)"
4,"No, I ignored them",No,No,No,No
5,Nope,No they were not,"Nope very easy
",Thankfully not,"This was fun and challenging I enjoyed it
"
6,They were related to the answer.,No.,No.,No.,
7,Yes. Twice in a row before each image came out some random letters were appearing on the screen for a very short time.,No. It was very easy for me to understand.,No. The interface was not difficult to use.,I did not encounter any technical problems.,I enjoyed working on the survey.
8,Yes,No,No,No,
9,Yes,No,No,No,
