wid,practice,presentation_times,primed_word,first_seen,first_word,second_word,choice,choice_rt,typing_rt,word,response,response_rt,response_type
w1475180,True,"[1523, 636, 824, 1129]",duck,left,duck,bread,right,4112.0,5638.0,bread,bread,6343.0,correct
w1475180,False,"[911, 1796]",hat,left,horse,hat,right,2707.0,4117.0,hat,hat,4659.0,correct
w1475180,False,[1379],hay,left,computer,hay,left,1379.0,1796.0,computer,computer,3515.0,correct
w1475180,False,[1631],toilet,left,toilet,puzzle,left,1631.0,2279.0,toilet,toilet,3297.0,correct
w1475180,False,[1333],truck,left,truck,bag,left,1333.0,2063.0,truck,truck,3302.0,correct
w1475180,False,"[675, 1205]",eye,left,nut,eye,right,1880.0,2489.0,eye,eye,3067.0,correct
w1475180,False,[1081],milk,left,milk,pig,left,1081.0,1832.0,milk,milk,2597.0,correct
w1475180,False,"[675, 1414]",ear,left,ear,lawn,right,2089.0,2720.0,lawn,lawn,3677.0,correct
w1475180,False,"[714, 1406]",cake,left,cake,bee,right,2120.0,2726.0,bee,bee,3202.0,correct
w1475180,False,[1202],bear,left,bear,jeans,left,1202.0,1845.0,bear,bear,2323.0,correct
w1475180,False,[1380],flower,left,snake,flower,left,1380.0,2012.0,snake,snake,2805.0,correct
w1475180,False,[1188],drink,left,cat,drink,left,1188.0,1478.0,cat,cat,2452.0,correct
w1475180,False,"[761, 973]",heart,left,bird,heart,right,1734.0,2322.0,heart,heart,2977.0,correct
w1475180,False,[1238],fence,left,window,fence,left,1238.0,2002.0,window,window,2999.0,correct
w1475180,False,[1818],bed,left,bone,bed,left,1818.0,2680.0,bone,bones,3856.0,correct
w1475180,False,[1921],dog,left,dog,lion,left,1921.0,2769.0,dog,dog,3429.0,correct
w1475180,False,"[785, 2221, 1020]",volcano,left,volcano,potato,left,4026.0,4712.0,volcano,volcano,5821.0,correct
w1475180,False,"[767, 628, 1235]",door,left,egg,door,left,2630.0,2943.0,egg,egg,3796.0,correct
w1475180,False,"[618, 1493]",rabbit,left,apple,rabbit,right,2111.0,2558.0,rabbit,rabbit,3787.0,correct
w1475180,False,"[757, 1231]",sand,left,candle,sand,right,1988.0,2316.0,sand,sand,3086.0,correct
wfcbde35,True,"[1512, 776, 936, 960, 361]",jeans,left,bone,jeans,left,4545.0,5944.0,bone,bone,6505.0,correct
wfcbde35,False,"[1248, 2616]",lion,left,cat,lion,right,3864.0,4808.0,lion,lion,5505.0,correct
wfcbde35,False,"[904, 721, 976]",heart,left,heart,bear,left,2601.0,3144.0,heart,heart,3649.0,correct
wfcbde35,False,"[704, 1584]",computer,right,computer,flower,left,2288.0,2856.0,flower,flower,3617.0,correct
wfcbde35,False,[1744],egg,right,egg,pig,right,1744.0,2176.0,egg,egg,2753.0,correct
wfcbde35,False,"[776, 512, 800]",nut,left,horse,nut,left,2088.0,2728.0,horse,horse,3537.0,correct
wfcbde35,False,"[784, 1344]",door,left,door,sand,right,2128.0,2632.0,sand,sand,3121.0,correct
wfcbde35,False,"[1024, 1328]",drink,left,truck,drink,right,2352.0,2680.0,drink,drink,3449.0,correct
wfcbde35,False,"[600, 416, 432]",snake,left,snake,window,left,1448.0,2000.0,snake,snake,2785.0,correct
wfcbde35,False,"[657, 783, 976]",duck,left,duck,dog,left,2416.0,2792.0,duck,duck,3313.0,correct
wfcbde35,False,"[664, 376, 288]",toilet,left,toilet,eye,left,1328.0,2016.0,toilet,toilet,3041.0,correct
wfcbde35,False,"[1008, 280, 640]",hat,left,hat,potato,left,1928.0,2768.0,hat,hat,3065.0,correct
wfcbde35,False,"[704, 1369]",bee,left,bee,bread,right,2073.0,2393.0,bread,bread,3121.0,correct
wfcbde35,False,"[687, 417, 312]",fence,left,fence,rabbit,left,1416.0,1977.0,fence,fence,3280.0,correct
wfcbde35,False,[1208],puzzle,left,lawn,puzzle,left,1208.0,1833.0,lawn,lawn,2449.0,correct
wfcbde35,False,"[568, 1264]",hay,left,hay,bag,right,1832.0,2184.0,bag,bag,2953.0,correct
wfcbde35,False,"[632, 328, 376]",apple,left,cake,apple,left,1336.0,1840.0,cake,cake,2697.0,correct
wfcbde35,False,[1080],volcano,left,volcano,candle,left,1080.0,1592.0,volcano,volcano,2361.0,correct
wfcbde35,False,"[487, 1545]",ear,left,bird,ear,right,2032.0,2336.0,ear,ear,2713.0,correct
wfcbde35,False,"[672, 960]",bed,left,milk,bed,right,1632.0,2449.0,bed,bed,3465.0,correct
wf06a75b,True,"[426, 2035.5, 3237.9000000059605, 3632.2999999970198, 6038.0999999940395]",hat,left,hay,hat,left,15369.79999999702,16330.5,hay,pig,16741.59999999404,intrusion
