wid,block,word,response_type,rt
wa170917,1,door,intrusion,6775
wa170917,1,candle,correct,4659
wa170917,1,horse,correct,5520
wa170917,1,pig,intrusion,3341
wa170917,1,egg,intrusion,4137
wa170917,1,puzzle,intrusion,5661
wa170917,1,computer,correct,3110
wa170917,1,dog,intrusion,4959
wa170917,1,duck,correct,2690
wa170917,1,cake,intrusion,5275
wa170917,1,volcano,correct,4094
wa170917,1,bird,correct,3544
wa170917,1,lawn,intrusion,8768
wa170917,1,bone,intrusion,4140
wa170917,1,milk,intrusion,7130
wa170917,1,hay,intrusion,7862
wa170917,1,rabbit,intrusion,7304
wa170917,1,bag,correct,2585
wa170917,1,drink,correct,6292
wa170917,1,eye,intrusion,6857
wa170917,1,ear,intrusion,10241
wa170917,1,snake,correct,4867
wa170917,1,hat,correct,3372
wa170917,1,sand,intrusion,7951
wa170917,1,jeans,intrusion,6481
wa170917,1,nut,intrusion,5313
wa170917,1,lion,correct,3596
wa170917,1,truck,correct,1760
wa170917,1,bread,correct,5265
wa170917,1,bee,correct,4565
wa170917,1,heart,correct,5804
wa170917,1,bear,correct,3408
wa170917,1,fence,intrusion,4435
wa170917,1,potato,intrusion,3899
wa170917,1,apple,intrusion,3150
wa170917,1,cat,intrusion,2669
wa170917,1,flower,intrusion,7251
wa170917,1,eye,intrusion,4615
wa170917,1,apple,correct,2298
wa170917,1,nut,correct,2568
wa170917,1,sand,intrusion,5808
wa170917,1,lion,correct,5084
wa170917,1,bone,intrusion,3848
wa170917,1,bear,correct,2882
wa170917,1,snake,intrusion,3978
wa170917,1,lawn,intrusion,4680
wa170917,1,computer,intrusion,9087
wa170917,1,door,other,3989
wa170917,1,bird,intrusion,4085
wa170917,1,cake,intrusion,5565
wa170917,1,fence,correct,2262
wa170917,1,drink,correct,6769
wa170917,1,egg,intrusion,3213
wa170917,1,truck,correct,1186
wa170917,1,flower,intrusion,3063
wa170917,1,bag,intrusion,4549
wa170917,1,ear,intrusion,5820
wa170917,1,potato,correct,5507
wa170917,1,pig,intrusion,2597
wa170917,1,milk,intrusion,2823
wa170917,1,hay,intrusion,5215
wa170917,1,puzzle,correct,5257
wa170917,1,volcano,correct,3101
wa170917,1,horse,intrusion,7437
wa170917,1,duck,intrusion,5801
wa170917,1,candle,other,2413
wa170917,1,bread,correct,5075
wa170917,1,bee,correct,4590
wa170917,1,hat,correct,3648
wa170917,1,cat,intrusion,5401
wa170917,1,rabbit,intrusion,6887
wa170917,1,jeans,intrusion,6529
wa170917,1,heart,correct,2747
wa170917,1,dog,intrusion,9253
w3449f83,1,window,correct,1564.5999999046326
w3449f83,1,bone,correct,5575.800000190735
w3449f83,1,nut,correct,2142.7000000476837
w3449f83,1,snake,timeout,8718.900000095367
w3449f83,1,puzzle,intrusion,6150.799999952316
w3449f83,1,pig,intrusion,4457.5
w3449f83,1,apple,intrusion,5917.799999952316
w3449f83,1,dog,intrusion,6677.599999904633
w3449f83,1,flower,correct,5752.899999856949
w3449f83,1,computer,timeout,NA
w3449f83,1,horse,intrusion,5783
w3449f83,1,ear,timeout,NA
w3449f83,1,lawn,timeout,4300.100000143051
w3449f83,1,door,intrusion,3547.7000000476837
