wid,practice,rt,word,target,lure,key,correct
w5f4991c,True,1330.0,hamburger,forest/sun_atlxncsxfmqwisuw,kitchen/sun_avlgzqfdedxwbiei,J,True
w5f4991c,False,1231.0,rouge,beach/sun_aawqdbpihmlbwyyn,gym/sun_akecysmtkjijrbqr,J,True
w5f4991c,False,927.0,electron,computerroom/sun_aagspgyvjmoiytfb,greenhouse/sun_bncgstrupskxwget,F,True
w5f4991c,False,1181.0,strawberry,downtown/sun_ahwvhnliokuzkazb,musuem/sun_agblrnoilxeknben,F,True
w5f4991c,False,1121.0,traitor,pool/sun_alkvkavnnunmdavq,railway/sun_aprfapnfngmvbixm,F,True
w5f4991c,False,982.0,major,campsite/sun_aommnycdukjoaebq,beach/sun_aawqdbpihmlbwyyn,J,True
w5f4991c,False,710.0,goddess,musuem/sun_agblrnoilxeknben,grocery/sun_ahmoznrxomkgrris,F,True
w5f4991c,False,1427.0,tread,kitchen/sun_avlgzqfdedxwbiei,campsite/sun_aommnycdukjoaebq,F,True
w5f4991c,False,830.0,shoelace,footballfield/sun_bxvamckmwplxbzxz,computerroom/sun_aagspgyvjmoiytfb,F,True
w5f4991c,False,1023.0,daisy,greenhouse/sun_bncgstrupskxwget,house/sun_awyiuqdptibtzfuh,J,True
w5f4991c,False,2368.0,roost,castle/sun_apvtpjdfgucfbnsd,auditorium/sun_ahwuhefoqkvitxnk,F,True
w5f4991c,False,1055.0,dandelion,river/sun_aahjsajmsehqtuox,downtown/sun_ahwvhnliokuzkazb,J,True
w5f4991c,False,1492.0,permit,gym/sun_akecysmtkjijrbqr,pool/sun_alkvkavnnunmdavq,F,True
w5f4991c,False,1105.0,ghost,auditorium/sun_ahwuhefoqkvitxnk,forest/sun_atlxncsxfmqwisuw,J,True
w5f4991c,False,1033.0,tomato,railway/sun_aprfapnfngmvbixm,river/sun_aahjsajmsehqtuox,J,True
w5f4991c,False,822.0,eagle,airport/sun_aojbxgadgjyajeaw,garage/sun_danujvtkymldhxqn,F,True
w5f4991c,False,1079.0,jeans,bookstore/sun_aalyndhausktwxbc,airport/sun_aojbxgadgjyajeaw,J,True
w5f4991c,False,985.0,tart,garage/sun_danujvtkymldhxqn,footballfield/sun_bxvamckmwplxbzxz,F,True
w5f4991c,False,1540.0,seagull,house/sun_awyiuqdptibtzfuh,castle/sun_apvtpjdfgucfbnsd,F,True
w5f4991c,False,845.0,pitchfork,grocery/sun_ahmoznrxomkgrris,bookstore/sun_aalyndhausktwxbc,F,True
w5f4991c,False,922.0,dandelion,river/sun_aahjsajmsehqtuox,grocery/sun_ahmoznrxomkgrris,F,True
w5f4991c,False,747.0,permit,gym/sun_akecysmtkjijrbqr,pool/sun_alkvkavnnunmdavq,F,True
w5f4991c,False,850.0,seagull,house/sun_awyiuqdptibtzfuh,castle/sun_apvtpjdfgucfbnsd,F,True
w5f4991c,False,884.0,major,campsite/sun_aommnycdukjoaebq,footballfield/sun_bxvamckmwplxbzxz,J,True
w5f4991c,False,952.0,ghost,auditorium/sun_ahwuhefoqkvitxnk,garage/sun_danujvtkymldhxqn,J,True
w5f4991c,False,1293.0,rouge,beach/sun_aawqdbpihmlbwyyn,airport/sun_aojbxgadgjyajeaw,F,True
w5f4991c,False,1147.0,tread,kitchen/sun_avlgzqfdedxwbiei,gym/sun_akecysmtkjijrbqr,J,True
w5f4991c,False,1106.0,traitor,pool/sun_alkvkavnnunmdavq,musuem/sun_agblrnoilxeknben,F,True
w5f4991c,False,1007.0,strawberry,downtown/sun_ahwvhnliokuzkazb,greenhouse/sun_bncgstrupskxwget,J,True
w5f4991c,False,667.0,daisy,greenhouse/sun_bncgstrupskxwget,house/sun_awyiuqdptibtzfuh,J,True
w5f4991c,False,690.0,eagle,airport/sun_aojbxgadgjyajeaw,kitchen/sun_avlgzqfdedxwbiei,F,True
w5f4991c,False,867.0,hamburger,forest/sun_atlxncsxfmqwisuw,auditorium/sun_ahwuhefoqkvitxnk,F,True
w5f4991c,False,1011.0,roost,castle/sun_apvtpjdfgucfbnsd,campsite/sun_aommnycdukjoaebq,J,True
w5f4991c,False,728.0,electron,computerroom/sun_aagspgyvjmoiytfb,downtown/sun_ahwvhnliokuzkazb,F,True
w5f4991c,False,841.0,pitchfork,grocery/sun_ahmoznrxomkgrris,bookstore/sun_aalyndhausktwxbc,F,True
w5f4991c,False,1036.0,tart,garage/sun_danujvtkymldhxqn,river/sun_aahjsajmsehqtuox,J,True
w5f4991c,False,857.0,shoelace,footballfield/sun_bxvamckmwplxbzxz,beach/sun_aawqdbpihmlbwyyn,J,True
w5f4991c,False,733.0,jeans,bookstore/sun_aalyndhausktwxbc,computerroom/sun_aagspgyvjmoiytfb,F,True
w5f4991c,False,812.0,tomato,railway/sun_aprfapnfngmvbixm,forest/sun_atlxncsxfmqwisuw,J,True
