wid,practice,fixations,click_rt,typing_rt,word,response,type_time,response_type
w74eb473,True,"[('saccade', 722.7999999886379), ('enemy', 738.6149999802001)]",1461,2344,enemy,enemy,1742.4200000241399,correct
w74eb473,False,"[('saccade', 656.9700000109151), ('volunteer', 533.8099999935366)]",1191,2016,volunteer,volunteer,2344.504999986384,correct
w74eb473,False,"[('saccade', 337.96500001335517), ('pitchfork', 139.41000000340864)]",477,1889,pitchfork,pitchfork,3325.95999998739,correct
w74eb473,False,"[('saccade', 296.98999994434416), ('stranger', 171.6149999992922)]",469,1580,stranger,stranger,2258.3100000047125,correct
w74eb473,False,"[('saccade', 380.5200000060722), ('elbow', 157.75999997276813)]",538,1522,elbow,elbow,1965.9649999812245,correct
w74eb473,False,"[('saccade', 313.9599999994971), ('tread', 147.74499996565282)]",462,1389,tread,tread,1750.5000000237487,correct
w74eb473,False,"[('saccade', 330.6800000136718), ('stairs', 147.46000000741333)]",478,1660,stairs,stairs,2206.6350000095554,correct
w74eb473,False,"[('saccade', 317.8100000368431), ('community', 159.6999999601394)]",478,2164,community,community,3074.2450000252575,correct
w74eb473,False,"[('saccade', 381.1250000144355), ('frog', 153.43499998562038)]",535,1472,frog,frog,1395.569999993313,correct
w74eb473,False,"[('saccade', 241.25500000081956), ('winner', 155.7850000099279)]",397,1744,winner,winner,2305.4750000010245,correct
w3299ca8,True,"[('saccade', 540.1850000001723), ('electron', 1631.3549999999814)]",2172,2896,electron,electron,2578.509999999893,correct
w3299ca8,False,"[('saccade', 353.91499999992084), ('stable', 4032.0400000001537)]",4386,5180,stable,stable,1672.2199999998556,correct
w3299ca8,False,"[('saccade', 378.83500000007916), ('grizzly', 3435.9899999999907), ('saccade', 100.07500000006985), ('seagull', 2689.170000000042)]",6604,6862,seagull,seagull,1942.1799999999348,correct
w3299ca8,False,"[('saccade', 476.09499999997206), ('enemy', 3887.8800000000047)]",4364,4883,enemy,enemy,1622.094999999972,correct
w3299ca8,False,"[('saccade', 370.6350000000093), ('roost', 1912.7299999999814)]",2283,2961,roost,roost,1340.3399999999674,correct
w3299ca8,False,"[('saccade', 311.6199999998789), ('well', 872.3950000000186)]",1184,1696,well,well,1390.3200000000652,correct
w3299ca8,False,"[('saccade', 368.0999999999767), ('community', 719.9400000000605)]",1088,6028,community,community,7082.42499999993,correct
w3299ca8,False,"[('saccade', 249.55999999993946), ('application', 206.38000000000466)]",456,1584,application,application,3806.185000000056,correct
w3299ca8,False,"[('saccade', 126.91500000003725), ('mister', 209.0799999999581)]",336,1538,mister,mist,1834.1000000000931,other
w3299ca8,False,"[('saccade', 186.68500000005588), ('agent', 1239.9899999999907)]",1427,1948,agent,agent,1663.8150000000605,correct
w1a9d92f,True,"[('saccade', 406), ('vagrant', 945)]",1351,2083,vagrant,vagrant,2000.0,correct
w1a9d92f,False,"[('saccade', 544), ('crook', 820)]",1364,1843,crook,crook,1236.0,correct
w1a9d92f,False,"[('saccade', 314), ('application', 748)]",1062,1610,application,application,1950.0,correct
w1a9d92f,False,"[('saccade', 166), ('permit', 720)]",886,1584,permit,permit,1475.0,correct
w1a9d92f,False,"[('saccade', 174), ('follower', 703)]",877,1345,follower,follower,1758.0,correct
w1a9d92f,False,"[('saccade', 401), ('suburb', 729)]",1130,2115,suburb,suburb,1980.0,correct
w1a9d92f,False,"[('saccade', 143), ('major', 222)]",365,1384,major,major,1647.0,correct
w1a9d92f,False,"[('saccade', 319), ('ozone', 842)]",1161,1796,ozone,ozone,1270.0,correct
w1a9d92f,False,"[('saccade', 184), ('stranger', 736)]",920,1336,stranger,stranger,1255.0,correct
w1a9d92f,False,"[('saccade', 273), ('well', 780)]",1053,1384,well,well,915.0,correct
