wid,block,practice,rt,word,target,lure,key,correct
w2f1698c,1,True,1708.0,magazine,airport/sun_aajqjnzswlmdcmyl,theater/sun_abnbylturqcwwiuz,F,True
w2f1698c,1,False,1752.0,cauliflower,greenhouse/sun_apjhtwdcpezmnlze,railway/sun_axeddylwawkspiuo,F,True
w2f1698c,1,False,1005.0,cactus,footballfield/sun_byyhmoxeyuabpnes,tenniscourt/sun_ayyvmiocpgbwlgot,D,True
w2f1698c,1,False,840.0,crook,subway/sun_axjlvqkyqahstpwg,downtown/sun_bctdtcqciqgupefg,D,True
w2f1698c,1,False,1791.0,editorial,shoppingmall/sun_attlobbjfpnyzslo,laundryroom/sun_amdxqjichaqshdel,D,True
w2f1698c,1,False,873.0,quill,sky/sun_agpvigtqjmmxbzwp,computerroom/sun_aknbqkyjmltzjpuf,D,True
w2f1698c,1,False,3370.0,winner,ziggurat/sun_aiqkruqnfbmiiafv,footballfield/sun_byyhmoxeyuabpnes,D,False
w2f1698c,1,False,2038.0,penguin,ranch/sun_airsfxbouimobamd,beach/sun_aawqdbpihmlbwyyn,F,True
w2f1698c,1,False,906.0,jeans,tenniscourt/sun_ayyvmiocpgbwlgot,ranch/sun_airsfxbouimobamd,F,True
w2f1698c,1,False,2084.0,barracuda,tower/sun_akmnewliaqefdugs,waterfall/sun_ahssvsymysusmiqw,D,False
w2f1698c,1,False,1192.0,empire,street/sun_amwdevcpkorkaqcv,roof/sun_asrztwexxagrlhem,F,True
w2f1698c,1,False,858.0,apple,grocery/sun_akqpikmgyzrpoilg,airport/sun_aajqjnzswlmdcmyl,F,True
w2f1698c,1,False,1962.0,sand,theater/sun_abnbylturqcwwiuz,vineyard/sun_aokkqrsxsvimuubo,D,True
w2f1698c,1,False,970.0,antelope,restaurant/sun_adozleohzzjtcftc,campsite/sun_amejpvolcgftwwch,D,True
w2f1698c,1,False,1061.0,rebel,gym/sun_appsvbfzhwrmtrje,skiresort/sun_adyplaxglzqyoynb,F,True
