wid,test_type,overlay,train_presentation_duration,recall_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,afc_scores,completed,bonus,version,math_correct
w3827f4d,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'parrot': 6.955498767128648, 'agent': 6.929103920280126, 'editorial': 7.104150827509739, 'rouge': 6.967786158014469, 'eagle': 6.871516164480329, 'stranger': 6.703546949696228, 'elephant': 6.922329824542785, 'pig': 6.859862692050601, 'rebel': 6.885788762899385, 'territory': 7.171823822163966, 'ghost': 6.808302786866508, 'handkerchief': 7.2818048326614, 'banana': 6.629900940089795, 'major': 6.868869114418543, 'crook': 6.551667851960306, 'walrus': 6.805404900478631, 'scenery': 6.896776225089861, 'quill': 7.088368629484605, 'permit': 6.772414681973019, 'donor': 6.790917006800981, 'house': 6.97827641320256, 'elbow': 6.7791443790787485, 'roost': 7.1946425113848145, 'tractor': 7.117975548068546, 'antelope': 7.039725324900936, 'transplant': 6.985162684064608, 'cauliflower': 7.101304329056656, 'ear': 7.314515892989056, 'follower': 6.84297413079003, 'hero': 7.134239417607543, 'enemy': 6.902387249126534, 'penguin': 7.205674168668163, 'electron': 6.586339988141208, 'hamburger': 6.5458209775648095, 'seagull': 7.16503438762659, 'traitor': 6.969071664493669, 'pizza': 6.717981880398757, 'cookie': 6.830599486168134, 'bug': 6.840571944261143, 'fellow': 7.505615562151299}",True,1.82,v3.6,6.0
w29abcb5,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'permit': 7.2828869418734605, 'cue': 7.079736027615801, 'seagull': 6.829206339853756, 'handkerchief': 6.930272022776118, 'strawberry': 7.012326527779429, 'saxophone': 7.131412311931438, 'sand': 6.946627619913535, 'pizza': 7.074938415655744, 'elephant': 6.748074824714631, 'keeper': 6.804478159368835, 'bug': 6.652166965045555, 'mister': 6.896286820607095, 'tiger': 6.855171574443077, 'atom': 6.742425623433842, 'horse': 6.903488270774672, 'territory': 6.9780998115560315, 'crook': 7.152929920818518, 'neck': 6.775255545526702, 'enemy': 7.253245166675213, 'tart': 7.0214451005105785, 'agent': 6.874024474224213, 'follower': 7.162860019328179, 'refrigerator': 6.831220681043067, 'stranger': 7.024588973925854, 'personnel': 7.154983966702407, 'ear': 6.686405868446292, 'traitor': 6.747149137826465, 'parrot': 6.968322149219971, 'octopus': 6.59119429983996, 'gravel': 6.6778887374540234, 'grizzly': 6.718343969765676, 'hero': 6.966922771312952, 'stairs': 6.771596231069961, 'chimney': 6.906727068118407, 'cookie': 6.7277871354853085, 'stable': 7.062780079160295, 'tread': 6.841303252332835, 'barracuda': 6.809751257433253, 'captive': 6.6449449348785175, 'transplant': 6.983210779524028}",True,1.86,v3.6,6.0
w5c9c2c5,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'villain': 6.780633137305556, 'tomato': 7.079629736628552, 'personnel': 6.873974559695346, 'bug': 7.00493943591137, 'hero': 7.067088190000803, 'donor': 6.776823746768867, 'stranger': 6.90155650405823, 'house': 7.26389949988727, 'elbow': 6.9685291187467895, 'captive': 7.383038418440122, 'tractor': 7.300632538595921, 'jeans': 6.867521289114762, 'tiger': 6.97387017827563, 'editorial': 7.248391550994927, 'ear': 7.023676067462895, 'follower': 7.0618800413781395, 'pillow': 6.682023482449336, 'suburb': 7.082781711707966, 'mister': 6.828349748660936, 'octopus': 6.94000877484859, 'enemy': 6.850288210779482, 'winner': 7.192802814233221, 'elephant': 7.10727040331572, 'society': 7.20268810552954, 'handkerchief': 7.51357073980201, 'traitor': 6.890437020223351, 'stairs': 6.981868165474025, 'scapegoat': 6.8537654482385415, 'carrot': 6.9308868492283855, 'dandelion': 7.35054827181494, 'flower': 6.925706908383101, 'roost': 7.0906712071653315, 'rebel': 7.146424285001564, 'frog': 6.900033588856384, 'tread': 7.048088731907811, 'banana': 6.208254597509277, 'neck': 6.756548056932683, 'saxophone': 6.79132558342959, 'transplant': 7.33659787201183, 'volunteer': 7.054528999616046}",True,1.82,v3.6,9.0
w4e765f8,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'permit': 7.4241749402427075, 'goddess': 6.949720650795637, 'parrot': 6.894669842866542, 'department': 7.068427204370099, 'strawberry': 7.213190229573627, 'barracuda': 7.255152261748546, 'scapegoat': 6.903479640897172, 'shoelace': 7.453111669470068, 'editorial': 6.835104374547096, 'follower': 7.052180044490569, 'chimney': 7.142533375928967, 'stairs': 6.998678309706683, 'winner': 7.126505923985374, 'magazine': 7.0842869785556415, 'agent': 7.140702553402066, 'hero': 6.97976797068281, 'society': 6.8419835152712, 'tiger': 6.813325336151075, 'well': 7.041200903815622, 'flower': 7.366881477158976, 'patient': 7.30433783587011, 'donor': 6.794678851454812, 'ear': 6.904309200355939, 'finger': 7.251609687901685, 'banana': 6.95589719417226, 'pillow': 7.056443323146279, 'territory': 7.374596605048381, 'bug': 6.88632592965705, 'traitor': 6.858810394537881, 'neck': 7.351085255591184, 'gravel': 6.900575959798421, 'captive': 7.191014661910287, 'transplant': 6.995169563655676, 'saxophone': 7.2045462116502, 'walrus': 7.0842965059048035, 'roost': 7.358249792509167, 'virus': 6.8398810361731215, 'quill': 7.302370292150897, 'daisy': 7.5354552866174735, 'lover': 6.782012041241206}",True,1.79,v3.6,8.0
w9f343d2,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'horse': 7.205215925987222, 'atom': 6.948203769344105, 'tread': 6.465236290139996, 'goat': 7.047629707786176, 'villain': 6.692086533394235, 'idol': 6.733788902534202, 'cue': 6.9115748264102415, 'saxophone': 6.644218081429685, 'penguin': 6.5851151812089865, 'donor': 6.4672978461342225, 'fellow': 6.344666996741563, 'empire': 6.6201493578311625, 'crook': 6.749103349565246, 'pillow': 6.783810083005572, 'carrot': 6.7415459083835065, 'handkerchief': 6.709157581994449, 'finger': 6.974839161207907, 'tomato': 6.56859430772042, 'agent': 6.476770518752957, 'critic': 6.5659054448051215, 'electron': 6.3889210192814545, 'strawberry': 6.494299141698555, 'enemy': 6.699723304722968, 'tulip': 6.6055479060096145, 'rouge': 6.600732041303665, 'roost': 7.051691084353151, 'grizzly': 6.79928538137445, 'elbow': 6.627268238867688, 'ghost': 6.8059276540430895, 'jeans': 6.73966043561327, 'keeper': 6.733811726441176, 'hero': 6.538572981436627, 'elephant': 6.613004609920874, 'refrigerator': 6.880688152757604, 'banana': 6.456927946730599, 'tiger': 6.766515645485928, 'baby': 6.771542984691515, 'shoelace': 6.492094061992315, 'frog': 6.516326293935799, 'transplant': 6.607050815810663}",True,0.76,v3.6,3.0
wc9ae4ff,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'tulip': 7.321713088246841, 'dandelion': 7.3968223480881905, 'carrot': 6.6742323641950305, 'stairs': 7.155101547731687, 'department': 7.155752250552282, 'critic': 6.969422951802162, 'bed': 7.1083354310989195, 'walrus': 7.113792652425907, 'virus': 6.844144858366483, 'pizza': 6.871095342921855, 'lover': 6.627680637722612, 'tiger': 6.937352498181898, 'cactus': 6.828979385227467, 'frog': 6.601063397104826, 'penguin': 7.051522241489501, 'vagrant': 6.880016665625213, 'atom': 7.23803102438042, 'application': 7.155267533995844, 'quill': 7.027312697909074, 'hero': 6.624224942251813, 'banana': 6.6174933437108505, 'cookie': 6.739246051424573, 'scenery': 6.79819262880072, 'ozone': 6.707473540500395, 'pig': 6.713031675651536, 'barracuda': 6.73194016926987, 'rouge': 6.989182531287713, 'major': 7.185169898387915, 'mister': 6.570071391145401, 'traitor': 6.771797078780415, 'transplant': 6.997030095554931, 'fellow': 7.092498563580996, 'grizzly': 7.10991370774986, 'finger': 6.9505600532238185, 'tomato': 7.095580009221021, 'donor': 7.103111342038189, 'stranger': 6.687568522767283, 'daisy': 7.042402764358287, 'seagull': 6.816950175171352, 'volunteer': 6.960516255751486}",True,1.78,v3.6,10.0
wa04a5e4,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'tomato': 6.900749999709291, 'bed': 7.137296327826376, 'donor': 7.22693391097598, 'captive': 6.749288258310564, 'tread': 7.150441694946356, 'atom': 6.997918571977647, 'frog': 6.834930408051965, 'hero': 7.089405514387739, 'magazine': 7.2774257071596855, 'elephant': 6.772278114012302, 'grizzly': 6.715767088830056, 'daisy': 6.993687529241659, 'barracuda': 6.726947108526379, 'tulip': 7.124902750041144, 'handkerchief': 7.017111160766795, 'keeper': 7.025403101660106, 'empire': 7.070831466360503, 'villain': 6.76411896071406, 'antelope': 6.79440348657912, 'flower': 7.170170498741537, 'roost': 6.63935801878965, 'cookie': 6.7853403427610095, 'pig': 7.052414565821365, 'winner': 6.927038638621415, 'ozone': 6.827229845083683, 'personnel': 6.7709532474145036, 'pizza': 7.048801661661933, 'eagle': 6.856047828399618, 'octopus': 6.585309962601922, 'finger': 6.978377515134436, 'pitchfork': 6.925590937278101, 'enemy': 7.149637371400544, 'goddess': 6.90143762089095, 'critic': 6.975556770741672, 'stable': 6.922168421413354, 'walrus': 6.930891431888342, 'transplant': 6.861900966661871, 'major': 7.225448804293698, 'strawberry': 6.6954830176159845, 'electron': 7.158022122448425}",True,1.79,v3.6,10.0
w0895751,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'electron': 7.504952836310416, 'pig': 6.838572974426349, 'octopus': 7.7322043959896005, 'sand': 6.8962845242701185, 'stranger': 6.959562573293698, 'shoelace': 7.062347650749924, 'tart': 6.957844464877565, 'cookie': 6.7554974031993185, 'atom': 7.007224757244764, 'cauliflower': 7.226382861523656, 'finger': 6.921868509061219, 'refrigerator': 7.045494257286293, 'permit': 6.928135542233907, 'transplant': 6.805070651481558, 'gravel': 7.268293520681984, 'well': 6.977890656895675, 'eagle': 7.0196631616245275, 'scapegoat': 7.0842837304799255, 'territory': 7.324486897840186, 'tomato': 6.829763634981195, 'agent': 6.689728514108111, 'personnel': 6.794002973995345, 'cactus': 7.090918428713395, 'jeans': 6.655177631199898, 'pizza': 7.209234007371546, 'horse': 6.935834522756029, 'application': 6.988745018430461, 'frog': 6.646360486458103, 'fellow': 7.09429172104889, 'scenery': 6.85467363402481, 'goddess': 6.746460926842691, 'ear': 6.891975380679219, 'idol': 6.770033839277484, 'volunteer': 6.996422120732343, 'mister': 6.989707118596623, 'goat': 7.180314758866364, 'keeper': 6.982595964561759, 'rouge': 7.058089035469663, 'saxophone': 7.144770310662743, 'barracuda': 6.763208409744099}",True,1.92,v3.6,8.0
w416e125,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'vagrant': 6.9032875439861625, 'banana': 7.197501244846404, 'agent': 7.019926440905622, 'application': 6.93921245878855, 'crook': 7.2301858101512755, 'patient': 7.243722418583402, 'horse': 7.147916982556388, 'elbow': 7.5059621896185, 'frog': 6.7636078400648465, 'ozone': 6.7896472786486335, 'critic': 7.5251919841829675, 'electron': 6.723516611880741, 'carrot': 7.32844290799135, 'antelope': 7.12329968795103, 'pig': 6.85113956760135, 'hamburger': 6.592817568776339, 'strawberry': 6.770188747645771, 'captive': 6.803695616751362, 'community': 7.032677181259064, 'lover': 6.9516562160364765, 'traitor': 6.873914462161463, 'tart': 7.469256489929926, 'neck': 7.152571921215677, 'fellow': 7.199431865988099, 'pitchfork': 6.9242490483593215, 'finger': 7.425006265898927, 'chimney': 7.026418196169665, 'stairs': 7.332669041009982, 'editorial': 6.979299410300098, 'cookie': 6.922162604401721, 'cauliflower': 7.187792394698484, 'stable': 6.933137063314615, 'tulip': 7.429997404711791, 'territory': 7.157720714977793, 'parrot': 7.239020020193842, 'flower': 7.02401158145922, 'walrus': 6.98960360016466, 'well': 6.606197480579479, 'empire': 6.647394347170487, 'idol': 7.217597884126512}",True,1.86,v3.6,8.0
w382b3f3,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'major': 7.309080275756653, 'horse': 7.42306757288786, 'volunteer': 7.082565710392996, 'scapegoat': 7.270927501863987, 'frog': 7.24644507138192, 'grizzly': 7.043569609251455, 'cue': 7.200511835591354, 'neck': 7.114754482425757, 'crook': 7.081183949927172, 'eagle': 7.118545329692208, 'finger': 7.321286466657107, 'hamburger': 7.242261691412037, 'traitor': 7.335096882363345, 'enemy': 7.077461391242344, 'quill': 7.184275540438951, 'hero': 6.8554988402717525, 'handkerchief': 6.998855493031102, 'stable': 7.216167515324806, 'saxophone': 7.317343679644268, 'ear': 7.222328476854014, 'walrus': 6.841134430873308, 'tiger': 7.6924007410153505, 'villain': 7.162449715548175, 'scenery': 7.353932490067792, 'antelope': 7.316864938490176, 'pillow': 7.0649731380929595, 'critic': 7.053049738247115, 'suburb': 7.187900027029555, 'winner': 7.4697731853100136, 'cookie': 7.17231317664143, 'seagull': 7.035928654106269, 'refrigerator': 7.184780403341421, 'community': 6.925091256972752, 'electron': 6.86856259675945, 'ghost': 7.099018479468929, 'dandelion': 7.035189154349298, 'barracuda': 7.122641087736453, 'pitchfork': 7.258161817965824, 'idol': 6.964487442665969, 'application': 7.230104882014987}",True,1.66,v3.6,8.0
