wid,test_type,overlay,train_presentation_duration,recall_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_practice_critical,n_distractor,bonus_rate_critical,bonus_rate_critical_speed,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,afc_scores,completed,bonus,version,math_correct
w5806d34,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'electron': 7.401957080158957, 'pitchfork': 7.0681856218806205, 'atom': 7.495952080123402, 'pizza': 7.1735779365129515, 'lover': 7.254855102108418, 'ear': 6.851563639952733, 'parrot': 6.90219706147744, 'eagle': 7.257350023407429, 'goat': 7.218219789737297, 'empire': 7.049961135337763, 'house': 7.12211570651984, 'vagrant': 7.2742131952100815, 'well': 7.264363558201704, 'stable': 6.97745095054124, 'keeper': 7.4318269102566985, 'villain': 7.252023641495721, 'cactus': 7.126592847690929, 'antelope': 7.037311910584024, 'quill': 7.024231967371613, 'mister': 7.365820669738905, 'editorial': 7.097676336717201, 'agent': 7.3922769580307595, 'frog': 6.851325869116029, 'cauliflower': 6.94025348244196, 'chimney': 7.516630094790802, 'tart': 7.098550379499433, 'banana': 6.778600545651315, 'strawberry': 6.914212610772762, 'dandelion': 7.498152619626006, 'permit': 7.183111127830706, 'tiger': 6.965204265253139, 'gravel': 7.225051835546992, 'volunteer': 7.014240319138772, 'bed': 7.297337697465205, 'captive': 7.214293572570199, 'daisy': 7.154444211096824, 'virus': 7.033515503046272, 'follower': 7.330906499215857, 'major': 7.439542638670766, 'transplant': 7.130004735662591}",True,2.5369999999999977,v6.1,6.0
w7e21139,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'idol': 7.002843745698871, 'jeans': 7.143251529871672, 'neck': 7.304320952480249, 'permit': 7.019243887356532, 'daisy': 7.1400313686597165, 'villain': 7.084924949420222, 'stranger': 7.133533156613974, 'transplant': 7.357433118370712, 'tractor': 7.081771520219061, 'carrot': 7.100076065508081, 'pillow': 7.120244090067598, 'house': 7.584709168937526, 'consumer': 7.125853905797225, 'well': 6.870640511363188, 'pitchfork': 6.940300886309192, 'grizzly': 6.902415141562958, 'traitor': 7.088446450520869, 'walrus': 7.470363680361909, 'saxophone': 7.43707667168615, 'refrigerator': 7.056791074616558, 'goat': 7.449416030423414, 'winner': 7.377655377177561, 'society': 7.62180134836608, 'seagull': 7.116146489135409, 'eagle': 7.014686772427267, 'banana': 6.956975557069593, 'donor': 6.99368957445308, 'goddess': 7.069251242003471, 'gravel': 7.213809032230668, 'handkerchief': 7.228457838611118, 'keeper': 6.923507608801305, 'community': 7.135535639497093, 'strawberry': 7.271394986316186, 'tread': 7.098355580346985, 'application': 6.780464625909218, 'department': 7.376478108909256, 'cauliflower': 7.387216816982684, 'roost': 6.8279686902213825, 'magazine': 7.058491553707069, 'virus': 6.805033690802268}",True,2.625,v6.1,10.0
wdd65643,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'baby': 7.643129075561233, 'chimney': 7.235719301416718, 'critic': 7.5470822755967895, 'stranger': 7.752246150495773, 'finger': 7.761262458793907, 'traitor': 7.18193785196283, 'cookie': 7.426122991106882, 'major': 7.394208056456435, 'scenery': 7.716791853696393, 'scapegoat': 6.996034013525452, 'consumer': 7.194601875851883, 'octopus': 7.742139795786098, 'grizzly': 7.734041276813386, 'strawberry': 7.366640780256063, 'gravel': 7.311171125957606, 'cactus': 7.990594469758768, 'penguin': 7.423690715242668, 'enemy': 7.012508304566478, 'application': 7.133230997900742, 'hamburger': 7.136475449156269, 'donor': 7.422140123300873, 'barracuda': 7.2005391313819835, 'pizza': 7.26165538745531, 'lover': 7.431446193685453, 'transplant': 7.590039591896836, 'suburb': 7.362173022076857, 'tulip': 7.303121614130023, 'magazine': 7.4247024489453635, 'well': 7.4104442775595105, 'bug': 7.484596490312832, 'seagull': 7.105920978812006, 'tart': 7.019452373496897, 'pitchfork': 7.531452889081418, 'pillow': 7.4181264707929095, 'villain': 7.843304739724865, 'handkerchief': 7.498852552465935, 'hero': 6.924007249700225, 'atom': 7.416411987605077, 'patient': 7.33427464475954, 'elephant': 7.018693158254593}",True,1.4239999999999997,v6.1,2.0
wbd7ac1c,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'carrot': 7.60422641793393, 'fellow': 7.273003479241752, 'rebel': 7.468256390315772, 'grizzly': 6.731211822345064, 'tractor': 7.589611768493863, 'crook': 7.097693545894123, 'pizza': 7.420632907548634, 'bed': 7.418033402425965, 'hamburger': 7.539841624640993, 'tomato': 7.0600756638955, 'frog': 6.809424906125269, 'scapegoat': 7.460953122773565, 'ozone': 7.086667796057586, 'baby': 6.772168590247272, 'virus': 6.997209032936566, 'personnel': 6.777028385762325, 'tread': 7.212274367300516, 'seagull': 7.019747345425251, 'idol': 7.193204814683344, 'pig': 7.2634132118067845, 'cookie': 7.027506341984356, 'vagrant': 7.237956619622185, 'refrigerator': 6.963803146622983, 'magazine': 6.9054425611761125, 'community': 6.806601050335419, 'winner': 7.128633580534412, 'cauliflower': 6.644327279230886, 'elephant': 7.070624555776383, 'captive': 6.927798586492718, 'house': 7.203588166241597, 'department': 7.387048455618125, 'ghost': 6.940845237417776, 'stranger': 7.198262598669097, 'dandelion': 7.4277080478947, 'banana': 7.077154720928597, 'quill': 6.808379027813359, 'villain': 7.142560920734533, 'scenery': 7.244854297185306, 'traitor': 7.675427516259881, 'pitchfork': 7.0892959501729225}",True,2.2819999999999987,v6.1,2.0
w6ed8abf,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'jeans': 6.866533060565305, 'patient': 7.106215442249365, 'donor': 6.741015720032412, 'pig': 6.608530173519454, 'suburb': 6.761306401975836, 'mister': 6.963736757146067, 'pizza': 6.430267913028838, 'cauliflower': 6.761900993225674, 'transplant': 6.947471971258692, 'strawberry': 6.643316952476941, 'tart': 6.500033679616564, 'tomato': 6.460841327191544, 'bug': 6.63867995185772, 'society': 7.22945680614126, 'tiger': 6.589415826110629, 'hero': 6.766035423637184, 'ghost': 6.912406712414785, 'dandelion': 6.927888981928561, 'ear': 6.429370686419733, 'crook': 7.011565521956811, 'seagull': 6.4639337287058725, 'territory': 6.750323152184779, 'frog': 6.480138134696094, 'refrigerator': 6.703035865167475, 'shoelace': 6.789623489029662, 'neck': 6.988372602572642, 'horse': 6.970465976058255, 'enemy': 6.935168028219018, 'ozone': 6.77175764254637, 'flower': 6.928150956036823, 'eagle': 6.768452207035559, 'vagrant': 6.55205693993859, 'goddess': 6.721042536187579, 'lover': 6.854394977682499, 'winner': 6.658500826303915, 'captive': 7.104749947560009, 'octopus': 6.6858051616057805, 'application': 6.832929775879431, 'finger': 6.77960430614552, 'editorial': 6.500004157141357}",True,2.2669999999999986,v6.1,7.0
w4c674a4,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'seagull': 7.596996494996323, 'donor': 7.490638948156966, 'stable': 6.979592138097565, 'hamburger': 7.094541697480441, 'carrot': 7.226751218353368, 'antelope': 7.2755671741037515, 'lover': 6.69441330261401, 'mister': 7.781218980020101, 'refrigerator': 7.15728638335413, 'follower': 7.772479731510118, 'virus': 6.882827964882968, 'agent': 7.27507010035988, 'chimney': 6.9356321512001555, 'pig': 7.193327669148843, 'community': 6.859943221850403, 'jeans': 7.009172686346571, 'enemy': 6.856863958189455, 'goddess': 6.664775662843868, 'tread': 7.415644693039179, 'traitor': 7.6240672055360035, 'shoelace': 6.883327894877559, 'empire': 7.044803687975212, 'personnel': 7.145836406512854, 'vagrant': 6.953323067430719, 'hero': 7.325723353796657, 'transplant': 7.207056714164743, 'grizzly': 7.020991034356535, 'strawberry': 6.76806126593825, 'fellow': 7.899232438910354, 'sand': 7.19119403207934, 'tomato': 7.031973511013949, 'neck': 7.010965024099306, 'cactus': 7.2345422559374795, 'cauliflower': 7.237834356931941, 'barracuda': 7.151460104576654, 'pitchfork': 7.296518866478994, 'tiger': 7.287444657597006, 'dandelion': 7.321774009304985, 'finger': 7.076155795739286, 'well': 6.800542842873118}",True,2.135,v6.1,6.0
wd7f2eac,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'elephant': 7.311614114837236, 'pitchfork': 7.064543410369552, 'jeans': 7.037361023669102, 'cactus': 7.205713548388673, 'tomato': 7.1529403482704685, 'cookie': 7.265692900170521, 'baby': 7.192118631375741, 'well': 7.371786061569931, 'tractor': 7.513423918537598, 'rebel': 7.116596032450424, 'territory': 7.106616775746061, 'elbow': 7.341017328216822, 'frog': 7.051039365454084, 'grizzly': 7.270165810833606, 'traitor': 7.292199076226491, 'idol': 6.989703403908695, 'crook': 7.0640974029438945, 'society': 7.214342757691791, 'donor': 7.283036053375909, 'transplant': 7.215888379908045, 'major': 7.16554790250337, 'ear': 7.212022166134606, 'consumer': 7.21594778479099, 'eagle': 7.081538062044127, 'agent': 6.939512138655545, 'atom': 7.048496401466533, 'virus': 6.918917203266019, 'tart': 6.885163902735002, 'cauliflower': 7.279183006194134, 'roost': 7.282370464008424, 'walrus': 7.299641498814434, 'goat': 7.194763414162954, 'goddess': 7.1742752415388535, 'stranger': 6.992395360268538, 'gravel': 6.97647755727816, 'tiger': 7.090403388731559, 'handkerchief': 7.20886347145986, 'personnel': 6.92612932299035, 'chimney': 7.236254569783422, 'refrigerator': 6.876138557839442}",True,2.053000000000001,v6.1,6.0
w9dacacc,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'saxophone': 7.313906698736301, 'atom': 6.83600408013904, 'tread': 7.024954369968523, 'antelope': 6.936577698004324, 'house': 6.793779785916719, 'frog': 6.654021934314694, 'crook': 7.274623609842432, 'dandelion': 6.951648222211797, 'sand': 7.341828122592194, 'parrot': 6.789835718858154, 'cue': 6.848470777175993, 'cookie': 6.580355108062545, 'pillow': 7.162852775346039, 'handkerchief': 6.776269162867517, 'carrot': 6.7208277091409165, 'scapegoat': 7.012767690037666, 'gravel': 6.899094473488836, 'banana': 6.7524971320209985, 'bed': 6.840927326528163, 'neck': 6.786336139522846, 'idol': 7.057828376842892, 'follower': 7.135551554421499, 'elephant': 6.749510365876095, 'magazine': 6.555842817246095, 'ghost': 6.93830630651111, 'rouge': 7.007581248060565, 'critic': 7.237322693532923, 'goddess': 6.785366184907862, 'society': 6.7182458884813725, 'hamburger': 6.503315973139828, 'virus': 6.617239475045358, 'winner': 6.717719767518203, 'roost': 6.977398934083156, 'department': 6.8830691668279655, 'goat': 7.4736953409761915, 'donor': 7.0448684748210555, 'transplant': 6.722268370853129, 'refrigerator': 6.821328632684264, 'ozone': 7.170630101115897, 'mister': 6.619917436806382}",True,2.116000000000001,v6.1,9.0
wf1a54ee,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'well': 7.139845179121035, 'agent': 7.120397473784972, 'consumer': 6.683407857107489, 'horse': 7.0777604241995435, 'frog': 6.5109983071772755, 'house': 6.804255540703346, 'gravel': 7.0931788540355525, 'virus': 6.73113968868302, 'lover': 6.845768820033821, 'empire': 6.628880263637587, 'scapegoat': 7.230861062178309, 'tart': 7.018793265286735, 'winner': 6.807563178019399, 'vagrant': 6.789212572108493, 'pitchfork': 7.110715810339244, 'pig': 7.0161300139380165, 'finger': 7.206217806777675, 'community': 6.886624757933659, 'neck': 6.461301788601204, 'saxophone': 6.627197290922524, 'tulip': 6.720664187045524, 'traitor': 7.191117254734476, 'villain': 7.021252649582112, 'fellow': 6.8308465659455955, 'barracuda': 7.495828819031068, 'personnel': 6.984265118168306, 'ear': 6.657999517575884, 'daisy': 6.8069007296987065, 'baby': 6.785373091207178, 'mister': 6.851506248925343, 'stranger': 7.122775987946025, 'ozone': 6.977087316152658, 'pizza': 6.758998462434776, 'follower': 6.725110791711212, 'quill': 6.778823542691818, 'magazine': 6.7150018340435835, 'ghost': 6.627961168644674, 'stairs': 6.78978462415402, 'walrus': 6.853583992282517, 'shoelace': 6.856167000632591}",True,2.1519999999999992,v6.1,5.0
w9fb8fbc,simple-recall,True,2000,15000,,5000,20,2,3,10,2,0.1,1,1,0.25,"{'penguin': 7.681208722725827, 'ghost': 7.461338367781662, 'neck': 7.415925354133418, 'lover': 7.2229030165632695, 'pizza': 7.322133681645734, 'dandelion': 7.19598162475846, 'major': 7.569146233986885, 'editorial': 7.58672810488997, 'refrigerator': 7.359491860034924, 'rouge': 7.138476875038978, 'tread': 7.0655981632466665, 'tulip': 7.7661865850781915, 'magazine': 6.991627828639314, 'tiger': 7.271711126287421, 'house': 7.387410267858428, 'scenery': 7.051913474286093, 'mister': 7.762569217569123, 'vagrant': 7.2624480442035555, 'transplant': 7.327685605575755, 'chimney': 7.32382663830311, 'barracuda': 7.206037982198517, 'volunteer': 6.920521064710019, 'handkerchief': 7.3436599790403525, 'frog': 7.214617778560775, 'tractor': 6.837145301535823, 'agent': 7.322733421214726, 'electron': 7.064582384027357, 'ozone': 7.582049709550643, 'pitchfork': 7.552008081052077, 'tart': 7.429159720327995, 'shoelace': 6.993542448980331, 'elephant': 7.3936700268759665, 'donor': 7.527473730385672, 'territory': 7.228325651664541, 'keeper': 7.456316261273611, 'fellow': 7.868191302481634, 'seagull': 7.0358472204782485, 'permit': 7.438988958591669, 'finger': 7.695184313560717, 'baby': 7.033201513238672}",True,2.2609999999999992,v6.1,5.0
