pre_correct,strength,outcome,rt,μ_post,σ_post
0.0,-1.1191040386415323,-1,900,-0.6159598800659118,0.5773502691896257
0.0,-0.6874908455310884,-1,1600,-0.4202588641092034,0.45883146774112354
0.0,-0.12576326153092565,1,2600,0.3366936524858738,0.3651483716701107
0.0,0.05186336870599215,-1,600,-0.8817988023753817,0.6666666666666666
0.0,-1.9001728879811346,-1,400,-1.0237544924112416,0.7559289460184545
0.0,-1.40922640322561,-1,400,-1.0017889461746978,0.7559289460184545
0.0,-0.7275082014623866,-1,3000,-0.2906736190548555,0.3481553119113957
0.0,0.10644061284658146,-1,2900,-0.4125164664386941,0.3535533905932738
0.0,-0.2898247482100046,-1,1700,-0.4590010026380714,0.4472135954999579
0.0,0.08176685868086009,1,3400,0.2675681544999106,0.3244428422615251
0.0,-0.7999525536852338,-1,600,-0.8594800975529818,0.6666666666666666
0.0,-1.0920030279477198,-1,700,-0.7141553034101795,0.6324555320336759
0.0,-1.2704059133818177,-1,900,-0.7949367282080217,0.5773502691896257
0.0,-1.4820683041715312,-1,700,-0.7490717758330623,0.6324555320336759
0.0,-0.33668861374774195,-1,3500,-0.22435122635981541,0.3244428422615251
0.0,-0.5602079635126493,-1,3000,-0.2855050259770029,0.3481553119113957
0.0,-1.238933718813335,-1,800,-0.6885197715072437,0.6030226891555273
0.0,-2.612103022820727,-1,400,-1.1473349434845423,0.7559289460184545
0.0,-0.5122283748340688,-1,1900,-0.4227833879626447,0.4264014327112209
0.0,0.8835654977214741,1,2400,0.41002408104041727,0.37796447300922725
0.0,-1.05618447499532,-1,400,-1.70851070732793,0.7559289460184545
0.0,-0.3733539127998421,-1,3000,-0.24675055528964843,0.3481553119113957
0.0,-2.087005129590669,-1,1200,-0.5773524241601026,0.5163977794943222
0.0,-0.21245678925234124,-1,1900,-0.39310143493151595,0.4264014327112209
0.0,-1.0555236808221313,-1,500,-0.8562148319338024,0.7071067811865476
0.0,-0.12535502841621302,-1,800,-0.8185064465826696,0.6030226891555273
0.0,-1.3296928746263086,-1,400,-0.9729125261091892,0.7559289460184545
0.0,-0.6141361607740895,-1,600,-0.782575519640377,0.6666666666666666
0.0,-2.0089335464632128,-1,900,-0.6968664620651022,0.5773502691896257
0.0,-1.1294973321554622,-1,500,-1.1121463702840555,0.7071067811865476
0.0,-0.6898301858794913,-1,1300,-0.49332937305903224,0.5
0.0,-1.1498520442482945,-1,1100,-0.862795633186373,0.5345224838248488
0.0,-1.4907958657759273,-1,500,-0.9522900983768603,0.7071067811865476
0.0,-2.8612448572496554,-1,500,-0.8465958374630671,0.7071067811865476
0.0,-0.02414376463213591,-1,1500,-0.4485838610302675,0.4714045207910317
