strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.765225472963385,0.10437992634896648,"[750, 1000, 1250]",1,2000,1000
0.997442663580755,0.9122780369336405,"[250, 500, 500, 500, 500]",1,1250,1000
0.9524080194765052,0.21669398604098225,"[250, 500, 1000, 750, 250]",1,1500,1250
0.6283741529931609,0.45961622832935817,"[1250, 500, 500]",1,1750,500
0.22704517619370856,0.8281154120019865,"[500, 1000, 1250, 500]",2,1750,1500
0.11898076686423217,0.13482086958694176,"[500, 500, 500, 1000, 750, 750, 500, 3250, 500, 500, 750, 1250, 1250, 500, 500, 500, 500, 750, 250]",-1,6000,9000
0.6351676052380931,0.44558395077090984,"[500, 1750, 1250, 500, 500]",1,2250,2250
0.04739424041281412,0.7680754410145664,"[750, 250, 500, 1500]",2,1250,1750
0.49680397335517973,0.39907030131870436,"[250, 250, 750, 1250, 500, 1000, 750, 750]",2,2250,3250
0.5107352788262913,0.9358828309509404,"[500, 250, 500, 500, 250, 500]",2,1250,1250
0.6755388973550873,0.47550782183928975,"[750, 500, 500, 1250, 750]",1,2000,1750
0.7125098461585974,0.7495736458517305,"[500, 500, 250, 750, 750, 500, 750]",1,2250,1750
0.9093584271077662,0.23643943250030378,"[500, 1000, 750]",1,1250,1000
0.7186382688251565,0.6932327548238686,"[500, 750, 500, 500, 1000]",1,2000,1250
0.9171030264400447,0.4716369381385286,"[750, 1000, 750]",1,1500,1000
0.24753308006677255,0.17138701076756627,"[500, 1250, 500, 250, 1000, 1250, 500, 1250, 750, 250, 1750, 500, 500]",1,5500,4750
0.25759031501416524,0.26223713297386664,"[1000, 500, 500, 500, 250, 250, 1750, 1750, 500, 500, 500, 500]",2,4500,4000
0.9572044829173767,0.006670143318149943,"[500, 500, 1000]",1,1500,500
0.6487772060676037,0.00973883086290022,"[750, 500, 1000]",1,1750,500
0.7601001290216713,0.9972286413785463,"[750, 1250]",2,750,1250
0.6475723912313746,0.026776211679135607,"[750, 500, 500, 1250, 500, 250, 250]",1,2000,2000
0.75887739441539,0.7051885682756398,"[1250, 500, 500]",1,1750,500
0.978682177669567,0.9248308756855896,"[500, 1000, 750]",1,1250,1000
0.6092031678619299,0.8175662667821786,"[500, 500, 750, 500, 500, 750]",2,1750,1750
0.6235724891714389,0.9595999072836456,"[1000, 750, 750, 500, 500]",1,2250,1250
0.795735175547515,0.24812536428088977,"[1250, 500, 500]",1,1750,500
0.25259449497930614,0.31621746626438846,"[750, 750, 250, 750, 500, 1250, 750, 250, 1000, 250, 750]",1,4000,3250
0.27363053737121434,0.9996824525235014,"[750, 1250]",2,750,1250
0.27284357756223226,0.2051961693532354,"[750, 1000, 500, 1000, 750, 1750, 250, 500, 1500]",1,3750,4250
0.40247649058642576,0.3920895737405616,"[750, 1250, 1750, 1250, 250]",1,2750,2500
0.9832848492369793,0.6601791719176433,"[500, 500, 500, 1500]",2,1000,2000
0.06622380755603934,0.5307378658068668,"[1250, 1000, 750, 1000, 500, 500, 500, 250, 750, 250]",2,3750,3000
0.45234774723205345,0.8554996785680079,"[750, 250, 500, 750, 250, 500]",2,1500,1500
0.7995515688518017,0.5471050062415701,"[500, 250, 750, 500, 500]",1,1750,750
0.028270632040275752,0.8702373661310527,"[1000, 250, 250, 1250]",2,1250,1500
0.37184135620652425,0.19178344040712428,"[500, 500, 500, 1250, 1250, 250, 500, 1250, 250]",1,3000,3250
0.3735295629446326,0.6921764051086204,"[750, 250, 500, 750, 500, 250, 1250, 750, 750]",1,3750,2000
0.41374007887475966,0.49148763611187524,"[500, 500, 1250, 500, 500, 500, 500]",1,2750,1500
0.5306429145228432,0.4778831411633,"[2000, 500, 250]",1,2250,500
0.7016545625376635,0.23469633200685194,"[1000, 500, 500]",1,1500,500
0.31605926950950913,0.26648612785832165,"[1000, 1250, 250, 1750, 2000, 500, 1250, 250]",2,4500,3750
0.37894931132512266,0.8050961042468019,"[1250, 500, 250, 500, 750, 500]",2,2250,1500
0.7722198678810408,0.706493478469488,"[500, 1250, 500, 1000]",2,1000,2250
0.8064542894191902,0.08751562316962105,"[250, 250, 500, 1250, 750]",1,1500,1500
0.955977999434274,0.8969862102291011,"[1000, 250, 500]",1,1500,250
0.5947278116815427,0.2329909250728294,"[500, 250, 500, 750, 250, 500, 750]",1,2000,1500
0.762896868924503,0.7945826100498394,"[1250, 500, 500]",1,1750,500
0.40686598328016366,0.22662019174146802,"[500, 500, 250, 250, 2000, 500, 500]",1,3250,1250
0.49569845348439373,0.5361767157434143,"[750, 1250, 500, 750, 750, 250, 250, 250]",2,2250,2500
0.6701460617259514,0.9450739914338648,"[500, 500, 1250, 500, 500]",1,2250,1000
0.31656420971563903,0.9750820448638853,"[500, 1250, 500, 250]",2,1000,1500
0.6394404904097732,0.3221375122220623,"[1250, 250, 500, 500, 500]",1,2250,750
0.8714558721032506,0.19313194725127153,"[1250, 500, 500]",1,1750,500
0.29779830600032076,0.977010946672988,"[500, 1000, 2000, 500]",2,2500,1500
0.9201495433558773,0.7599340819022363,"[500, 1000, 500, 500, 500]",1,1500,1500
0.5808067665037143,0.13251675737996407,"[500, 750, 1750]",1,2250,750
0.1381974592091165,0.8032092776650628,"[500, 500, 750, 500, 1000, 500]",2,2250,1500
0.7239289629522878,0.5135947797298296,"[750, 750, 500, 750, 500]",1,1750,1500
0.48850654190664833,0.8615746936172297,"[500, 500, 500, 1000, 750, 250]",2,1750,1750
0.31227567992668026,0.9987076481911139,"[500, 1000, 3250, 250]",2,3750,1250
0.7976040694253931,0.8355438587307079,"[500, 500, 1500]",1,2000,500
0.7809570294556868,0.556813220797347,"[500, 1000, 1000]",1,1500,1000
0.973376888053104,0.5847853539136558,"[750, 500, 500]",1,1250,500
0.19880754580552426,0.5605655297218869,"[250, 500, 750, 1000, 1000, 500]",2,2000,2000
0.7750070513779418,0.5033959870011718,[1750],1,1750,0
0.25285348580079753,0.35960469310170784,"[750, 500, 500, 750, 1750, 750, 2250]",1,5250,2000
0.7232274388258143,0.9293463017136905,"[250, 1000, 750, 500]",2,1000,1500
0.9815779750836928,0.5079123687107224,"[750, 1250, 250, 500]",2,1000,1750
0.952790778850021,0.6780329429343086,"[500, 250, 1000]",1,1500,250
0.935378095818046,0.4735121475952654,"[750, 500, 750]",1,1500,500
0.6993899419764027,0.2863756998614688,"[500, 500, 750, 500, 750]",1,2000,1000
0.30067187186529093,0.30095566357207615,"[1250, 250, 500, 1000, 1000, 1250, 500, 1000, 500, 500, 750]",1,4500,4000
0.26158564758166175,0.8616392043037036,"[500, 750, 750, 500, 500, 250]",2,1750,1500
0.013479707908587543,0.4477963309493639,"[750, 750, 500, 2250]",2,1250,3000
0.896234837561642,0.5072345632370275,"[500, 750, 1000]",1,1500,750
0.05964822640234734,0.929501072163615,"[250, 500, 1250, 1000]",2,1500,1500
0.2563724926141531,0.48677689107440136,"[750, 2000, 1750, 500]",2,2500,2500
0.7097781942273906,0.48298090203758687,"[1250, 500, 250]",1,1500,500
0.9212179483115988,0.3264903391359671,"[750, 500, 500, 750, 250]",1,1500,1250
0.41854213929199796,0.7545518800248873,"[750, 1250, 250, 500]",2,1000,1750
0.3311441299294303,0.4812351511352631,"[1250, 1000, 500, 750, 500, 750, 1500]",1,3750,2500
0.29083127032237077,0.2588207308981858,"[500, 500, 500, 750, 500, 750, 250, 500, 2000, 1250, 1250, 750]",2,5000,4500
0.6077615538180978,0.7319835060359181,"[500, 250, 1500]",1,2000,250
0.3366850445962272,0.6006341849149027,"[750, 250, 750, 500, 2000]",1,3500,750
0.2138206196791736,0.7592191971358483,"[500, 1500]",2,500,1500
0.9488368266877073,0.5314323860014047,"[250, 1000, 500, 1000]",2,750,2000
