strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.2717671455479786,0.07434627262345693,"[1500, 13500]",-1,1500,13500
0.39928965509920755,0.3169564778907165,"[250, 5250]",2,250,5250
0.19318072532683903,0.27042762173724827,[6500],1,6500,0
0.11091030471083384,0.1684389881571119,"[1750, 9000]",2,1750,9000
0.2333795660510031,0.31965913712339833,"[250, 1000, 250, 1250, 6750]",1,7250,2250
0.23349974575881582,0.306964613638631,[6500],1,6500,0
0.2073095026204006,0.6406368931409204,"[500, 2250]",2,500,2250
0.09705677197210101,0.1285521372296356,[11500],1,11500,0
0.5815449343743636,0.0056836017954503635,[2000],1,2000,0
0.5938897714184287,0.23840330879334387,"[750, 250, 1750]",1,2500,250
0.39325223482809746,0.3288621022843994,[3000],1,3000,0
0.2074538428754174,0.3607545348000157,"[1250, 4000]",2,1250,4000
0.1237718707378372,0.08234928438386496,[7250],1,7250,0
0.5126282249073432,0.21793976011211685,"[1250, 5750]",2,1250,5750
0.2749312297890549,0.23390325948947047,[3750],1,3750,0
0.26985943022280684,0.16191426977479145,"[2500, 500, 4750]",1,7250,500
0.24251420201679927,0.05562171814141414,[6750],1,6750,0
0.2936556803900924,0.09611422827216842,"[250, 14750]",-1,250,14750
0.1557148608100558,0.34982197051003616,[6500],1,6500,0
0.2094684099425526,0.3977535527120509,"[1250, 4750]",2,1250,4750
0.574509347179949,0.19359779256789075,"[500, 5750]",2,500,5750
0.2283625593668725,0.1012785317645723,[4500],1,4500,0
0.03447395153135677,0.17132038413156525,"[500, 1000, 250, 1750, 750, 2500, 1000, 250, 1000, 250, 750, 750]",2,4250,6500
0.12142230896409217,0.505442009383298,"[750, 2250]",2,750,2250
0.2008734181789014,0.44525902544076346,"[250, 2750]",2,250,2750
0.3062710590976648,0.5872060635806614,"[1000, 1000, 2750]",1,3750,1000
0.053656120257172604,0.1145452166327917,"[500, 14500]",-1,500,14500
0.1364692204500647,0.05497049654739103,"[4500, 250, 5750]",1,10250,250
0.2993375926205407,0.41688545111575526,"[250, 3000]",2,250,3000
0.16215024195295055,0.07706958932847983,"[1250, 250, 6000]",1,7250,250
0.09112402783494587,0.21211893201630683,[12500],1,12500,0
0.16888353917050072,0.17948749766502617,[7500],1,7500,0
0.027480116408894778,0.24169812771898325,[15000],-1,15000,0
0.2323921306032736,0.4146671138547769,[4750],1,4750,0
0.07262394888744338,0.07436426534713318,[15000],-1,15000,0
0.16575808213975096,0.2822321200181445,"[1500, 250, 5250]",1,6750,250
0.059561117839056064,0.15107931262120147,"[1000, 500, 250, 1250, 750, 250, 500, 500, 10000]",-1,12500,2500
0.47460178201267605,0.12656583640476743,"[500, 500, 2250]",1,2750,500
0.19926804814683496,0.4501969287900512,"[500, 750, 500, 3000]",2,1000,3750
0.4581771075467427,0.1004912377952732,[2250],1,2250,0
0.2844925031877584,0.4875176555487193,"[1500, 2750]",2,1500,2750
0.2200724431997514,0.14485715909109606,"[2000, 1250, 3750]",1,5750,1250
0.057201360333380157,0.3039093952079541,"[1000, 4500]",2,1000,4500
0.07069503356119602,0.12243788677003001,[15000],-1,15000,0
0.5992838234033269,0.28810737791742097,[1750],1,1750,0
0.15476503470206537,0.6151026968119548,"[500, 500, 1500, 1000, 1250, 500]",2,3250,2000
0.21854120767237956,0.20614436184550305,[4750],1,4750,0
0.032371577972291427,0.21805668786612167,[15000],-1,15000,0
0.3465910058238125,0.49464812535028113,[4500],1,4500,0
0.15013095891224684,0.3074299723242917,"[1750, 6750]",2,1750,6750
0.5586681974748163,0.1646273670906923,[2000],1,2000,0
0.32871369382057575,0.2272302622164961,[3000],1,3000,0
0.32678742018072304,0.02227919647043974,[4000],1,4000,0
0.05431083937829285,0.12105475979896893,"[500, 1000, 13500]",-1,14000,1000
0.43172339777314866,0.3838470078675623,"[750, 250, 2500]",1,3250,250
0.3559425664047208,0.34491861422379755,"[750, 1250, 250, 250, 2000]",1,3000,1500
0.2648092068543679,0.2750976675931508,"[250, 5000]",2,250,5000
0.3464443172075534,0.2766834150732811,"[500, 5000]",2,500,5000
0.2812388429346102,0.2387519480443145,[4500],1,4500,0
0.13924539536139038,0.14887985153753583,"[750, 9000]",2,750,9000
0.07723865711741061,0.27362155720271336,"[1500, 750, 12750]",-1,14250,750
0.48237784219321433,0.2975549521788233,[3250],1,3250,0
0.07450833863943641,0.20986003962564456,[15000],-1,15000,0
