strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.13299388510566856,0.11216902596522799,"[250, 3000, 250, 1250, 250, 2750, 1500, 1750]",2,2250,8750
0.2710925946600486,0.2684246624340915,[3750],1,3750,0
0.08858119840006763,0.1604430934182021,"[250, 250, 1500, 2250, 1000, 5250]",2,2750,7750
0.4310644331710598,0.16659617585492534,[3750],1,3750,0
0.19952634479572004,0.1396804561192358,"[1000, 750, 7000]",1,8000,750
0.4074263407607018,0.4611853544604611,"[250, 3250]",2,250,3250
0.15270320956776204,0.12173230957181612,"[1000, 750, 1500, 500, 6000]",1,8500,1250
0.36450398002522677,0.2687806513771715,[3750],1,3750,0
0.060738547218542493,0.16478081254785712,"[750, 4250, 500, 2250]",2,1250,6500
0.48012900784198603,0.2865222388745292,[2000],1,2000,0
0.11752645494375566,0.5015847609113855,"[750, 2500]",2,750,2500
0.016225526116916956,0.14351353199135802,"[500, 1250, 1000, 1500, 250, 5000]",2,1750,7750
0.34780942908785,0.3043110563580565,"[3500, 500, 1250]",1,4750,500
0.1391969359961042,0.37454529407836124,"[750, 3000]",2,750,3000
0.22833697547895046,0.4975408894705642,"[1250, 3500]",2,1250,3500
0.3351173943351963,0.29664885922333073,[5500],1,5500,0
0.04478034241481281,0.398280691057904,"[1000, 3750]",2,1000,3750
0.09163535840795475,0.26629932968571857,"[1750, 500, 7000, 250, 2750, 2750]",-1,11500,3500
0.045906719669072,0.13416061679989594,"[500, 8500]",2,500,8500
0.3570214418117575,0.06437430534328112,"[750, 500, 2500]",1,3250,500
0.06298138245749685,0.09690185957115209,"[250, 500, 250, 250, 6750, 250, 4750, 750, 1250]",-1,13250,1750
0.44769102754677914,0.18149026635474358,[3500],1,3500,0
0.20889556796247413,0.3728136270307631,"[750, 2500, 250, 1750]",2,1000,4250
0.06320577068518193,0.16711983789480594,"[250, 5250, 750, 2250]",2,1000,7500
0.5007184794654135,0.40165729206757034,"[500, 250, 1250, 500, 500, 2000]",2,2250,2750
0.12604827392979145,0.4154514129442889,[6500],1,6500,0
0.15456365452029905,0.24200961172621216,"[500, 500, 2500, 5250]",2,3000,5750
0.20129687581955363,0.4015346631849795,"[250, 3000]",2,250,3000
0.4105355024149367,0.16859135917330959,"[1000, 500, 2000]",1,3000,500
0.05961880621435623,0.4704131186418556,"[750, 2500]",2,750,2500
0.48686514006247106,0.15673696565972337,"[2000, 250, 250]",1,2250,250
0.01859693884179744,0.43643297864950814,"[250, 2500]",2,250,2500
0.28996787604590984,0.12721303604053427,[4000],1,4000,0
0.24299029217442233,0.3598935243062879,"[500, 500, 4000]",1,4500,500
0.05573040837737152,0.508065853070745,"[500, 3750]",2,500,3750
0.24944452363888378,0.2975237199711978,"[750, 5000]",2,750,5000
0.30231294519164936,0.33487662060082685,[4000],1,4000,0
0.21386627145088474,0.1906128967729756,"[250, 4500]",2,250,4500
0.35783903057206334,0.18986522753893428,[3500],1,3500,0
0.3096743096500568,0.08159153013877737,"[2000, 500, 2000]",1,4000,500
0.30425357886742527,0.1596186751566796,"[250, 3500, 3250]",1,3500,3500
0.6214843448842974,0.27565379775880217,[2500],1,2500,0
0.07958492518249777,0.1611516469459489,"[500, 1250, 750, 3250, 750, 750, 750, 3000]",2,2750,8250
0.14849538432925707,0.28802493768308407,"[750, 250, 250, 4750]",2,1000,5000
